title,issn_print,issn-l,apc_currency,apc_amount,
Africa Education Review,1814-6627,1753-5921,GBP,2295,
Africa Education Review,1814-6627,1753-5921,EUR,2650,
Africa Journal of Management,2332-2373,2332-2381,USD,2995,
Africa Journal of Management,2332-2373,2332-2381,GBP,2295,
Africa Journal of Management,2332-2373,2332-2381,EUR,2650,
Africa Review,0974-4053,0974-4061,USD,2995,
Africa Review,0974-4053,0974-4061,GBP,2295,
Africa Review,0974-4053,0974-4061,EUR,2650,
African and Black Diaspora,1752-8631,1752-864X,USD,2995,
African and Black Diaspora,1752-8631,1752-864X,GBP,2295,
African and Black Diaspora,1752-8631,1752-864X,EUR,2650,
African Geographical Review,1937-6812,2163-2642,USD,2800,
African Geographical Review,1937-6812,2163-2642,GBP,2155,
African Geographical Review,1937-6812,2163-2642,EUR,2475,
African Historical Review,1753-2523,1753-2531,USD,2800,
African Historical Review,1753-2523,1753-2531,GBP,2155,
African Historical Review,1753-2523,1753-2531,EUR,2475,
African Identities,1472-5843,1472-5851,USD,2995,
African Identities,1472-5843,1472-5851,GBP,2295,
African Identities,1472-5843,1472-5851,EUR,2650,
African Journal of AIDS Research,1608-5906,1727-9445,USD,3300,
African Journal of AIDS Research,1608-5906,1727-9445,GBP,2540,
African Journal of AIDS Research,1608-5906,1727-9445,EUR,2920,
African Journal of Aquatic Science,1608-5914,1727-9364,USD,2995,
African Journal of Aquatic Science,1608-5914,1727-9364,GBP,2295,
African Journal of Aquatic Science,1608-5914,1727-9364,EUR,2650,
African Journal of Herpetology,2156-4574,2153-3660,USD,3300,
African Journal of Herpetology,2156-4574,2153-3660,GBP,2540,
African Journal of Herpetology,2156-4574,2153-3660,EUR,2920,
African Journal of Marine Science,1814-232X,1814-2338,USD,2995,
African Journal of Marine Science,1814-232X,1814-2338,GBP,2295,
African Journal of Marine Science,1814-232X,1814-2338,EUR,2650,
African Journal of Range & Forage Science,1022-0119,1727-9380,USD,2995,
African Journal of Range & Forage Science,1022-0119,1727-9380,GBP,2295,
African Journal of Range & Forage Science,1022-0119,1727-9380,EUR,2650,
"African Journal of Research in Mathematics, Science and Technology Education",1811-7295,2469-7656,USD,2995,
"African Journal of Research in Mathematics, Science and Technology Education",1811-7295,2469-7656,GBP,2295,
"African Journal of Research in Mathematics, Science and Technology Education",1811-7295,2469-7656,EUR,2650,
"African Journal of Science, Technology, Innovation and Development",2042-1338,2042-1346,USD,2800,
"African Journal of Science, Technology, Innovation and Development",2042-1338,2042-1346,GBP,2155,
"African Journal of Science, Technology, Innovation and Development",2042-1338,2042-1346,EUR,2475,
African Journalism Studies,2374-3670,2374-3689,USD,2995,
African Journalism Studies,2374-3670,2374-3689,GBP,2295,
African Journalism Studies,2374-3670,2374-3689,EUR,2650,
African Security Review,1024-6029,2154-0128,USD,2995,
African Security Review,1024-6029,2154-0128,GBP,2295,
African Security Review,1024-6029,2154-0128,EUR,2650,
African Studies,0002-0184,1469-2872,USD,2995,
African Studies,0002-0184,1469-2872,GBP,2295,
African Studies,0002-0184,1469-2872,EUR,2650,
African Zoology,1562-7020,2224-073X,USD,2995,
African Zoology,1562-7020,2224-073X,GBP,2295,
African Zoology,1562-7020,2224-073X,EUR,2650,
Agenda,1013-0950,2158-978X,USD,2500,
Agenda,1013-0950,2158-978X,GBP,1925,
Agenda,1013-0950,2158-978X,EUR,2210,
Aging & Mental Health,1360-7863,1364-6915,USD,3500,
Aging & Mental Health,1360-7863,1364-6915,GBP,2690,
Aging & Mental Health,1360-7863,1364-6915,EUR,3095,
"Aging, Neuropsychology, and Cognition",1382-5585,1744-4128,USD,3500,
"Aging, Neuropsychology, and Cognition",1382-5585,1744-4128,GBP,2690,
"Aging, Neuropsychology, and Cognition",1382-5585,1744-4128,EUR,3095,
Agrekon,0303-1853,2078-0400,USD,2995,
Agrekon,0303-1853,2078-0400,GBP,2295,
Agrekon,0303-1853,2078-0400,EUR,2650,
Agroecology and Sustainable Food Systems,2168-3565,2168-3573,USD,3900,
Agroecology and Sustainable Food Systems,2168-3565,2168-3573,GBP,3000,
Agroecology and Sustainable Food Systems,2168-3565,2168-3573,EUR,3450,
AICCM Bulletin,1034-4233,2204-4183,USD,2800,
AICCM Bulletin,1034-4233,2204-4183,GBP,2155,
AICCM Bulletin,1034-4233,2204-4183,EUR,2475,
AIDS Care,0954-0121,1360-0451,USD,2995,
AIDS Care,0954-0121,1360-0451,GBP,2295,
AIDS Care,0954-0121,1360-0451,EUR,2650,
AJOB Empirical Bioethics,2329-4515,2329-4523,USD,2995,
AJOB Empirical Bioethics,2329-4515,2329-4523,GBP,2295,
AJOB Empirical Bioethics,2329-4515,2329-4523,EUR,2650,
AJOB Neuroscience,2150-7740,2150-7759,USD,2995,
AJOB Neuroscience,2150-7740,2150-7759,GBP,2295,
AJOB Neuroscience,2150-7740,2150-7759,EUR,2650,
AKCE International Journal of Graphs and Combinatorics,0972-8600,2543-3474,USD,1200,
AKCE International Journal of Graphs and Combinatorics,0972-8600,2543-3474,GBP,925,
AKCE International Journal of Graphs and Combinatorics,0972-8600,2543-3474,EUR,1055,
Al-Masāq,0950-3110,1473-348X,USD,2800,
Al-Masāq,0950-3110,1473-348X,GBP,2155,
Al-Masāq,0950-3110,1473-348X,EUR,2475,
Alcoholism Treatment Quarterly,0734-7324,1544-4538,USD,3300,
Alcoholism Treatment Quarterly,0734-7324,1544-4538,GBP,2540,
Alcoholism Treatment Quarterly,0734-7324,1544-4538,EUR,2920,
All Earth,n/a,2766-9645,USD,1500,
All Earth,n/a,2766-9645,GBP,1155,
All Earth,n/a,2766-9645,EUR,1325,
All Life,2689-5293,2689-5307,USD,1500,
All Life,2689-5293,2689-5307,GBP,1155,
All Life,2689-5293,2689-5307,EUR,1320,
Ambix: The Journal of the Society for the History of Alchemy and Chemistry,0002-6980,1745-8234,USD,2800,
Ambix: The Journal of the Society for the History of Alchemy and Chemistry,0002-6980,1745-8234,GBP,2155,
Ambix: The Journal of the Society for the History of Alchemy and Chemistry,0002-6980,1745-8234,EUR,2475,
Amerasia Journal,0044-7471,0044-7471,USD,2995,
Amerasia Journal,0044-7471,0044-7471,GBP,2295,
Amerasia Journal,0044-7471,0044-7471,EUR,2650,
American Communist History,1474-3892,1474-3906,USD,2995,
American Communist History,1474-3892,1474-3906,GBP,2295,
American Communist History,1474-3892,1474-3906,EUR,2650,
American Journal of Clinical Hypnosis,0002-9157,2160-0562,USD,2995,
American Journal of Clinical Hypnosis,0002-9157,2160-0562,GBP,2295,
American Journal of Clinical Hypnosis,0002-9157,2160-0562,EUR,2650,
American Journal of Family Therapy,0192-6187,1521-0383,USD,2995,
American Journal of Family Therapy,0192-6187,1521-0383,GBP,2295,
American Journal of Family Therapy,0192-6187,1521-0383,EUR,2650,
American Journal of Health Education,1932-5037,2168-3751,USD,3500,
American Journal of Health Education,1932-5037,2168-3751,GBP,2690,
American Journal of Health Education,1932-5037,2168-3751,EUR,3095,
American Journal of Mathematical and Management Sciences,0196-6324,2325-8454,USD,2800,
American Journal of Mathematical and Management Sciences,0196-6324,2325-8454,GBP,2155,
American Journal of Mathematical and Management Sciences,0196-6324,2325-8454,EUR,2475,
American Journal of Sexuality Education,1554-6128,1554-6136,USD,2995,
American Journal of Sexuality Education,1554-6128,1554-6136,GBP,2295,
American Journal of Sexuality Education,1554-6128,1554-6136,EUR,2650,
American Nineteenth Century History,1466-4658,1743-7903,USD,2995,
American Nineteenth Century History,1466-4658,1743-7903,GBP,2295,
American Nineteenth Century History,1466-4658,1743-7903,EUR,2650,
Amyloid,1350-6129,1744-2818,USD,3500,
Amyloid,1350-6129,1744-2818,GBP,2690,
Amyloid,1350-6129,1744-2818,EUR,3095,
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2167-8421,2167-9223,USD,3500,
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2167-8421,2167-9223,GBP,2690,
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2167-8421,2167-9223,EUR,3095,
Analytical Letters,0003-2719,1532-236X,USD,3300,
Analytical Letters,0003-2719,1532-236X,GBP,2540,
Analytical Letters,0003-2719,1532-236X,EUR,2920,
Anatolia,1303-2917,2156-6909,USD,2995,
Anatolia,1303-2917,2156-6909,GBP,2295,
Anatolia,1303-2917,2156-6909,EUR,2650,
Angelaki,0969-725X,1469-2899,USD,2995,
Angelaki,0969-725X,1469-2899,GBP,2295,
Angelaki,0969-725X,1469-2899,EUR,2650,
Animal Biotechnology,1049-5398,1532-2378,USD,3500,
Animal Biotechnology,1049-5398,1532-2378,GBP,2690,
Animal Biotechnology,1049-5398,1532-2378,EUR,3095,
Animal Cells and Systems,1976-8354,2151-2485,USD,1500,
Animal Cells and Systems,1976-8354,2151-2485,GBP,1155,
Animal Cells and Systems,1976-8354,2151-2485,EUR,1325,
Annales de la Société entomologique de France (N.S.),0037-9271,2168-6351,USD,3300,
Annales de la Société entomologique de France (N.S.),0037-9271,2168-6351,GBP,2540,
Annales de la Société entomologique de France (N.S.),0037-9271,2168-6351,EUR,2920,
Annals of GIS,1947-5683,1947-5691,USD,0,
Annals of GIS,1947-5683,1947-5691,GBP,0,
Annals of GIS,1947-5683,1947-5691,EUR,0,
Annals of Human Biology,0301-4460,1464-5033,USD,3500,
Annals of Human Biology,0301-4460,1464-5033,GBP,2690,
Annals of Human Biology,0301-4460,1464-5033,EUR,3095,
Annals of Leisure Research,1174-5398,2159-6816,USD,2995,
Annals of Leisure Research,1174-5398,2159-6816,GBP,2295,
Annals of Leisure Research,1174-5398,2159-6816,EUR,2650,
Annals of Medicine,0785-3890,1365-2060,USD,2500,
Annals of Medicine,0785-3890,1365-2060,GBP,1925,
Annals of Medicine,0785-3890,1365-2060,EUR,2200,
Annals of the American Association of Geographers,2469-4452,2469-4460,USD,2995,
Annals of the American Association of Geographers,2469-4452,2469-4460,GBP,2295,
Annals of the American Association of Geographers,2469-4452,2469-4460,EUR,2650,
Annals of the International Communication Association,2380-8985,2380-8977,USD,2995,
Annals of the International Communication Association,2380-8985,2380-8977,GBP,2295,
Annals of the International Communication Association,2380-8985,2380-8977,EUR,2650,
"ANQ: A Quarterly Journal of Short Articles, Notes and Reviews",0895-769X,1940-3364,USD,2995,
"ANQ: A Quarterly Journal of Short Articles, Notes and Reviews",0895-769X,1940-3364,GBP,2295,
"ANQ: A Quarterly Journal of Short Articles, Notes and Reviews",0895-769X,1940-3364,EUR,2650,
Anthropological Forum,0066-4677,1469-2902,USD,2995,
Anthropological Forum,0066-4677,1469-2902,GBP,2295,
Anthropological Forum,0066-4677,1469-2902,EUR,2650,
Anthropology & Medicine,1364-8470,1469-2910,USD,2995,
Anthropology & Medicine,1364-8470,1469-2910,GBP,2295,
Anthropology & Medicine,1364-8470,1469-2910,EUR,2650,
Anthropology Now,1942-8200,1949-2901,USD,2995,
Anthropology Now,1942-8200,1949-2901,GBP,2295,
Anthropology Now,1942-8200,1949-2901,EUR,2650,
Anthropology Southern Africa,2332-3256,2332-3264,USD,2995,
Anthropology Southern Africa,2332-3256,2332-3264,GBP,2295,
Anthropology Southern Africa,2332-3256,2332-3264,EUR,2650,
Anthrozoös,0892-7936,1753-0377,USD,3500,
Anthrozoös,0892-7936,1753-0377,GBP,2690,
Anthrozoös,0892-7936,1753-0377,EUR,3095,
"Anxiety, Stress & Coping",1061-5806,1477-2205,USD,2995,
"Anxiety, Stress & Coping",1061-5806,1477-2205,GBP,2295,
"Anxiety, Stress & Coping",1061-5806,1477-2205,EUR,2650,
Aphasiology,0268-7038,1464-5041,USD,2995,
Aphasiology,0268-7038,1464-5041,GBP,2295,
Aphasiology,0268-7038,1464-5041,EUR,2650,
Applicable Analysis,0003-6811,1563-504X,USD,2800,
Applicable Analysis,0003-6811,1563-504X,GBP,2155,
Applicable Analysis,0003-6811,1563-504X,EUR,2475,
Applied Artificial Intelligence,0883-9514,1087-6545,USD,2500,
Applied Artificial Intelligence,0883-9514,1087-6545,GBP,1925,
Applied Artificial Intelligence,0883-9514,1087-6545,EUR,2210,
Applied Developmental Science,1088-8691,1532-480X,USD,3500,
Applied Developmental Science,1088-8691,1532-480X,GBP,2690,
Applied Developmental Science,1088-8691,1532-480X,EUR,3095,
Applied Earth Science,2572-6838,2572-6846,USD,3300,
Applied Earth Science,2572-6838,2572-6846,GBP,2540,
Applied Earth Science,2572-6838,2572-6846,EUR,2920,
Applied Economics,0003-6846,1466-4283,USD,2800,
Applied Economics,0003-6846,1466-4283,GBP,2155,
Applied Economics,0003-6846,1466-4283,EUR,2475,
Applied Economics Letters,1350-4851,1466-4291,USD,2800,
Applied Economics Letters,1350-4851,1466-4291,GBP,2155,
Applied Economics Letters,1350-4851,1466-4291,EUR,2475,
Applied Environmental Education and Communication,1533-015X,1533-0389,USD,2995,
Applied Environmental Education and Communication,1533-015X,1533-0389,GBP,2295,
Applied Environmental Education and Communication,1533-015X,1533-0389,EUR,2650,
Applied Mathematical Finance,1350-486X,1466-4313,USD,2800,
Applied Mathematical Finance,1350-486X,1466-4313,GBP,2155,
Applied Mathematical Finance,1350-486X,1466-4313,EUR,2475,
Applied Measurement in Education,0895-7347,1532-4818,USD,2995,
Applied Measurement in Education,0895-7347,1532-4818,GBP,2295,
Applied Measurement in Education,0895-7347,1532-4818,EUR,2650,
Applied Mobilities,2380-0127,2380-0135,USD,2995,
Applied Mobilities,2380-0127,2380-0135,GBP,2295,
Applied Mobilities,2380-0127,2380-0135,EUR,2650,
Applied Neuropsychology: Adult,2327-9095,2327-9109,USD,2995,
Applied Neuropsychology: Adult,2327-9095,2327-9109,GBP,2295,
Applied Neuropsychology: Adult,2327-9095,2327-9109,EUR,2650,
Applied Neuropsychology: Child,2162-2965,2162-2973,USD,2995,
Applied Neuropsychology: Child,2162-2965,2162-2973,GBP,2295,
Applied Neuropsychology: Child,2162-2965,2162-2973,EUR,2650,
Applied Phycology,n/a,2638-8081,USD,600,
Applied Phycology,n/a,2638-8081,GBP,460,
Applied Phycology,n/a,2638-8081,EUR,530,
Applied Spectroscopy Reviews,0570-4928,1520-569X,USD,3500,
Applied Spectroscopy Reviews,0570-4928,1520-569X,GBP,2690,
Applied Spectroscopy Reviews,0570-4928,1520-569X,EUR,3095,
Aquaculture Economics & Management,1365-7305,1551-8663,USD,3300,
Aquaculture Economics & Management,1365-7305,1551-8663,GBP,2540,
Aquaculture Economics & Management,1365-7305,1551-8663,EUR,2920,
Aquatic Insects,0165-0424,1744-4152,USD,3300,
Aquatic Insects,0165-0424,1744-4152,GBP,2540,
Aquatic Insects,0165-0424,1744-4152,EUR,2920,
Arab Journal of Basic and Applied Sciences,n/a,2576-5299,USD,1000,
Arab Journal of Basic and Applied Sciences,n/a,2576-5299,GBP,770,
Arab Journal of Basic and Applied Sciences,n/a,2576-5299,EUR,880,
Arboricultural Journal: The International Journal of Urban Forestry,0307-1375,2168-1074,USD,3300,
Arboricultural Journal: The International Journal of Urban Forestry,0307-1375,2168-1074,GBP,2540,
Arboricultural Journal: The International Journal of Urban Forestry,0307-1375,2168-1074,EUR,2920,
Archaeological Journal,0066-5983,2373-2288,USD,2995,
Archaeological Journal,0066-5983,2373-2288,GBP,2295,
Archaeological Journal,0066-5983,2373-2288,EUR,2650,
Architectural Engineering and Design Management,1745-2007,1752-7589,USD,3300,
Architectural Engineering and Design Management,1745-2007,1752-7589,GBP,2540,
Architectural Engineering and Design Management,1745-2007,1752-7589,EUR,2920,
Architectural Science Review,0003-8628,1758-9622,USD,2800,
Architectural Science Review,0003-8628,1758-9622,GBP,2155,
Architectural Science Review,0003-8628,1758-9622,EUR,2475,
Architectural Theory Review,1326-4826,1755-0475,USD,2800,
Architectural Theory Review,1326-4826,1755-0475,GBP,2155,
Architectural Theory Review,1326-4826,1755-0475,EUR,2475,
Architecture and Culture,2050-7828,2050-7836,USD,3300,
Architecture and Culture,2050-7828,2050-7836,GBP,2540,
Architecture and Culture,2050-7828,2050-7836,EUR,2920,
Archives and Manuscripts,0157-6895,2164-6058,USD,2995,
Archives and Manuscripts,0157-6895,2164-6058,GBP,2295,
Archives and Manuscripts,0157-6895,2164-6058,EUR,2650,
Archives and Records,2325-7962,2325-7989,USD,2995,
Archives and Records,2325-7962,2325-7989,GBP,2295,
Archives and Records,2325-7962,2325-7989,EUR,2650,
Archives of Agronomy and Soil Science,0365-0340,1476-3567,USD,3300,
Archives of Agronomy and Soil Science,0365-0340,1476-3567,GBP,2540,
Archives of Agronomy and Soil Science,0365-0340,1476-3567,EUR,2920,
Archives of Animal Nutrition,1745-039X,1477-2817,USD,3500,
Archives of Animal Nutrition,1745-039X,1477-2817,GBP,2690,
Archives of Animal Nutrition,1745-039X,1477-2817,EUR,3095,
Archives of Environmental & Occupational Health,1933-8244,2154-4700,USD,3300,
Archives of Environmental & Occupational Health,1933-8244,2154-4700,GBP,2540,
Archives of Environmental & Occupational Health,1933-8244,2154-4700,EUR,2920,
Archives of Physiology & Biochemistry,1381-3455,1744-4160,USD,3900,
Archives of Physiology & Biochemistry,1381-3455,1744-4160,GBP,3000,
Archives of Physiology & Biochemistry,1381-3455,1744-4160,EUR,3450,
Archives of Phytopathology & Plant Protection,0323-5408,1477-2906,USD,3300,
Archives of Phytopathology & Plant Protection,0323-5408,1477-2906,GBP,2540,
Archives of Phytopathology & Plant Protection,0323-5408,1477-2906,EUR,2920,
Archives of Suicide Research,1381-1118,1543-6136,USD,2995,
Archives of Suicide Research,1381-1118,1543-6136,GBP,2295,
Archives of Suicide Research,1381-1118,1543-6136,EUR,2650,
"Arctic, Antarctic, and Alpine Research",1523-0430,1938-4246,GBP,1500,
"Arctic, Antarctic, and Alpine Research",1523-0430,1938-4246,EUR,1725,
"Arctic, Antarctic, and Alpine Research",1523-0430,1938-4246,USD,1950,
Area Development and Policy,2379-2949,2379-2957,USD,2995,
Area Development and Policy,2379-2949,2379-2957,GBP,2295,
Area Development and Policy,2379-2949,2379-2957,EUR,2650,
Argumentation and Advocacy,1051-1431,2576-8476,USD,2995,
Argumentation and Advocacy,1051-1431,2576-8476,GBP,2295,
Argumentation and Advocacy,1051-1431,2576-8476,EUR,2650,
Arid Land Research and Management,1532-4982,1532-4990,USD,2800,
Arid Land Research and Management,1532-4982,1532-4990,GBP,2155,
Arid Land Research and Management,1532-4982,1532-4990,EUR,2475,
Arms & Armour,1741-6124,1749-6268,USD,2800,
Arms & Armour,1741-6124,1749-6268,GBP,2155,
Arms & Armour,1741-6124,1749-6268,EUR,2475,
Art Education,0004-3125,2325-5161,USD,2995,
Art Education,0004-3125,2325-5161,GBP,2295,
Art Education,0004-3125,2325-5161,EUR,2650,
Art in Translation,n/a,1756-1310,USD,2995,
Art in Translation,n/a,1756-1310,GBP,2295,
Art in Translation,n/a,1756-1310,EUR,2650,
Art Therapy,0742-1656,2159-9394,USD,2995,
Art Therapy,0742-1656,2159-9394,GBP,2295,
Art Therapy,0742-1656,2159-9394,EUR,2650,
"Artificial Cells, Nanomedicine and Biotechnology",2169-1401,2169-141X,USD,2500,
"Artificial Cells, Nanomedicine and Biotechnology",2169-1401,2169-141X,GBP,1925,
"Artificial Cells, Nanomedicine and Biotechnology",2169-1401,2169-141X,EUR,2200,
Arts & Health,1753-3015,1753-3023,USD,3300,
Arts & Health,1753-3015,1753-3023,GBP,2540,
Arts & Health,1753-3015,1753-3023,EUR,2920,
Arts Education Policy Review,1063-2913,1940-4395,USD,2995,
Arts Education Policy Review,1063-2913,1940-4395,GBP,2295,
Arts Education Policy Review,1063-2913,1940-4395,EUR,2650,
Asia Pacific Business Review,1360-2381,1743-792X,USD,2995,
Asia Pacific Business Review,1360-2381,1743-792X,GBP,2295,
Asia Pacific Business Review,1360-2381,1743-792X,EUR,2650,
Asia Pacific Journal of Counselling and Psychotherapy,2150-7686,2150-7708,USD,2995,
Asia Pacific Journal of Counselling and Psychotherapy,2150-7686,2150-7708,GBP,2295,
Asia Pacific Journal of Counselling and Psychotherapy,2150-7686,2150-7708,EUR,2650,
Asia Pacific Journal of Education,0218-8791,1742-6855,USD,2995,
Asia Pacific Journal of Education,0218-8791,1742-6855,GBP,2295,
Asia Pacific Journal of Education,0218-8791,1742-6855,EUR,2650,
Asia Pacific Journal of Public Administration,2327-6665,2327-6673,USD,2995,
Asia Pacific Journal of Public Administration,2327-6665,2327-6673,GBP,2295,
Asia Pacific Journal of Public Administration,2327-6665,2327-6673,EUR,2650,
Asia Pacific Journal of Social Work & Development,0218-5385,2165-0993,USD,2995,
Asia Pacific Journal of Social Work & Development,0218-5385,2165-0993,GBP,2295,
Asia Pacific Journal of Social Work & Development,0218-5385,2165-0993,EUR,2650,
Asia Pacific Journal of Tourism Research,1094-1665,1741-6507,USD,2995,
Asia Pacific Journal of Tourism Research,1094-1665,1741-6507,GBP,2295,
Asia Pacific Journal of Tourism Research,1094-1665,1741-6507,EUR,2650,
Asia Pacific Law Review,1019-2557,1875-8444,USD,3300,
Asia Pacific Law Review,1019-2557,1875-8444,GBP,2540,
Asia Pacific Law Review,1019-2557,1875-8444,EUR,2920,
Asia Pacific Review,1343-9006,1469-2937,USD,2995,
Asia Pacific Review,1343-9006,1469-2937,GBP,2295,
Asia Pacific Review,1343-9006,1469-2937,EUR,2650,
Asia Pacific Translation and Intercultural Studies,2330-6343,2330-6351,USD,2995,
Asia Pacific Translation and Intercultural Studies,2330-6343,2330-6351,GBP,2295,
Asia Pacific Translation and Intercultural Studies,2330-6343,2330-6351,EUR,2650,
Asia-Pacific Journal of Accounting & Economics,1608-1625,2164-2257,USD,2800,
Asia-Pacific Journal of Accounting & Economics,1608-1625,2164-2257,GBP,2155,
Asia-Pacific Journal of Accounting & Economics,1608-1625,2164-2257,EUR,2475,
Asia-Pacific Journal of Teacher Education,1359-866X,1469-2945,USD,2995,
Asia-Pacific Journal of Teacher Education,1359-866X,1469-2945,GBP,2295,
Asia-Pacific Journal of Teacher Education,1359-866X,1469-2945,EUR,2650,
Asian Affairs,0306-8374,1477-1500,USD,2995,
Asian Affairs,0306-8374,1477-1500,GBP,2295,
Asian Affairs,0306-8374,1477-1500,EUR,2650,
Asian Anthropology,1683-478X,2168-4227,USD,2995,
Asian Anthropology,1683-478X,2168-4227,GBP,2295,
Asian Anthropology,1683-478X,2168-4227,EUR,2650,
Asian Englishes,1348-8678,2331-2548,USD,2500,
Asian Englishes,1348-8678,2331-2548,GBP,1925,
Asian Englishes,1348-8678,2331-2548,EUR,2210,
