issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page_url,is_society_journal,linkedin_url,society_organization,society_organization_url,twitter_page_url,wikidata_url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0955-3886,Transfusion science,Transfusion and Apheresis Science,http://www.elsevier.com/journals/transfusion-and-apheresis-science/1473-0502/guide-for-authors,https://www.journals.elsevier.com/transfusion-and-apheresis-science/editorial-board,,https://www.journals.elsevier.com/transfusion-and-apheresis-science,TRUE,,World Apheresis Association; Turkish Society of Apheresis; European Society for Haemapheresis; Società Italiana di Emaferesi e Manipolazione Cellulare,http://www.worldapheresis.org/; http://www.aferez.org/; http://www.esfh.eu/; http://www.emaferesi.it/,,https://www.wikidata.org/wiki/Q15758507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1473-0502,Transfusion and apheresis science,,http://www.elsevier.com/journals/transfusion-and-apheresis-science/1473-0502/guide-for-authors,https://www.journals.elsevier.com/transfusion-and-apheresis-science/editorial-board,,https://www.journals.elsevier.com/transfusion-and-apheresis-science,TRUE,,"World Apheresis Association, Turkish Society of Apheresis, European Society for Haemapheresis and Società Italiana di Emaferesi e Manipolazione Cellulare",http://www.worldapheresis.org/; http://www.aferez.org/; http://www.esfh.eu/; http://www.emaferesi.it/,,https://www.wikidata.org/wiki/Q15758507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080-6032,Wilderness & environmental medicine,,http://www.elsevier.com/journals/wilderness-and-environmental-medicine/1080-6032/guide-for-authors,https://www.journals.elsevier.com/wilderness-and-environmental-medicine/editorial-board,,https://www.journals.elsevier.com/wilderness-and-environmental-medicine,TRUE,,Wilderness Medical Society,http://www.wms.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0892-1997,Journal of voice,,http://www.elsevier.com/journals/journal-of-voice/0892-1997/guide-for-authors,https://www.journals.elsevier.com/journal-of-voice/editorial-board,,https://www.journals.elsevier.com/journal-of-voice,TRUE,,Voice Foundation; International Association of Phonosurgeons,http://www.voicefoundation.org/; http://www.intasph.com/,,https://www.wikidata.org/wiki/Q2627096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526-5900,The journal of pain,,https://www.elsevier.com/journals/the-journal-of-pain/1526-5900/guide-for-authors,https://www.journals.elsevier.com/the-journal-of-pain/editorial-board,,https://www.journals.elsevier.com/the-journal-of-pain,TRUE,,U.S. Association for the Study of Pain,https://www.usasp.org/,,https://www.wikidata.org/wiki/Q15733728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0965-206X,Journal of tissue viability,,http://www.elsevier.com/journals/journal-of-tissue-viability/0965-206x/guide-for-authors,https://www.journals.elsevier.com/journal-of-tissue-viability/editorial-board,,https://www.journals.elsevier.com/journal-of-tissue-viability,TRUE,,Tissue Viability Society,http://www.tvs.org.uk/,,https://www.wikidata.org/wiki/Q15816539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0002-9629,The American journal of the medical sciences,,http://www.elsevier.com/journals/the-american-journal-of-the-medical-sciences/0002-9629/guide-for-authors,https://www.journals.elsevier.com/the-american-journal-of-the-medical-sciences/editorial-board,https://www.facebook.com/AmericanJournaloftheMedicalSciences/,https://www.journals.elsevier.com/the-american-journal-of-the-medical-sciences,TRUE,,The Southern Society for Clinical Investigation,https://www.ssciweb.org/,https://twitter.com/amjmedsci,https://www.wikidata.org/wiki/Q7713509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003-4975,The annals of thoracic surgery,,http://www.elsevier.com/journals/the-annals-of-thoracic-surgery/0003-4975/guide-for-authors,https://www.journals.elsevier.com/the-annals-of-thoracic-surgery/editorial-board,,https://www.journals.elsevier.com/the-annals-of-thoracic-surgery,TRUE,,The Society of Thoracic Surgeons & The Southern Thoracic Surgical Association,http://www.sts.org/; http://www.stsa.org/,https://twitter.com/annalsthorsurg,https://www.wikidata.org/wiki/Q1939819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369-703X,Biochemical engineering journal,,http://www.elsevier.com/journals/biochemical-engineering-journal/1369-703x/guide-for-authors,https://www.journals.elsevier.com/biochemical-engineering-journal/editorial-board,,https://www.journals.elsevier.com/biochemical-engineering-journal,TRUE,,The Society of Chemical Engineers,http://www.scej.org/en/,,https://www.wikidata.org/wiki/Q15755129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078-8174,Radiography /,,http://www.elsevier.com/journals/radiography/1078-8174/guide-for-authors,https://www.journals.elsevier.com/radiography/editorial-board,,https://www.journals.elsevier.com/radiography,TRUE,https://fr.linkedin.com/company/radiography-journal,The Society and College of Radiographers and the European Federation of Radiographer Societies,https://www.sor.org; https://www.efrs.eu/,https://twitter.com/radiographyjour,https://www.wikidata.org/wiki/Q15755456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173-5050,Revista de psiquiatría y salud mental,,https://NotAvailable,https://www.journals.elsevier.com/revista-de-psiquiatria-y-salud-mental-english-edition/editorial-board,,https://www.journals.elsevier.com/revista-de-psiquiatria-y-salud-mental-english-edition,TRUE,,The Sociedad Española de Psiquiatría (SEP) (Spanish Society of Psychiatry) and the Sociedad Española de Psiquiatría Biológica (SEPB) (Spanish Society of Biological Psychiatry),http://www.sepsiq.org/; https://sepb.es/,,https://www.wikidata.org/wiki/Q63883025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666-5352,Public health in practice,,http://www.elsevier.com/journals/public-health-in-practice/2666-5352/guide-for-authors,https://www.journals.elsevier.com/public-health-in-practice/editorial-board,,https://www.journals.elsevier.com/public-health-in-practice,TRUE,,The Royal Society for Public Health,https://www.rsph.org.uk/,,https://www.wikidata.org/wiki/Q96730725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0031-9422,Phytochemistry,,http://www.elsevier.com/journals/phytochemistry/0031-9422/guide-for-authors,https://www.journals.elsevier.com/phytochemistry/editorial-board,,https://www.journals.elsevier.com/phytochemistry,TRUE,,The Phytochemical Society of Europe; The Phytochemical Society of North America,http://www.phytochemicalsociety.org/; http://www.psna-online.org/,,https://www.wikidata.org/wiki/Q1884753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0385-8146,"Auris, nasus, larynx",,http://www.elsevier.com/journals/auris-nasus-larynx/0385-8146/guide-for-authors,https://www.journals.elsevier.com/auris-nasus-larynx/editorial-board,,https://www.journals.elsevier.com/auris-nasus-larynx,TRUE,,"The Oto-Rhino-Laryngological Society of Japan, Inc.",http://www.jibika.or.jp/english/index.html,,https://www.wikidata.org/wiki/Q15760332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2212-5345,Respiratory investigation,,http://www.elsevier.com/journals/respiratory-investigation/2212-5345/guide-for-authors,https://www.journals.elsevier.com/respiratory-investigation/editorial-board,,https://www.journals.elsevier.com/respiratory-investigation,TRUE,,The Japanese Respiratory Society,,,https://www.wikidata.org/wiki/Q26841802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666-2450,"Cerebral circulation, cognition and behavior",,http://www.elsevier.com/journals/cerebral-circulation-cognition-and-behavior/2666-2450/guide-for-authors,https://www.journals.elsevier.com/cerebral-circulation-cognition-and-behavior/editorial-board,,https://www.journals.elsevier.com/cerebral-circulation-cognition-and-behavior,TRUE,,The International Society of Vascular Behavioural and Cognitive Disorders,https://www.vas-cog.com/,,https://www.wikidata.org/wiki/Q96700162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566-0702,Autonomic neuroscience,Autonomic Neuroscience: Basic and Clinical,http://www.elsevier.com/journals/autonomic-neuroscience-basic-and-clinical/1566-0702/guide-for-authors,https://www.journals.elsevier.com/autonomic-neuroscience-basic-and-clinical/editorial-board,,https://www.journals.elsevier.com/autonomic-neuroscience-basic-and-clinical,TRUE,,The International Society for Autonomic Neuroscience,http://www.isanweb.org/,,https://www.wikidata.org/wiki/Q17150396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878-9293,Developmental cognitive neuroscience,,http://www.elsevier.com/journals/developmental-cognitive-neuroscience/1878-9293/guide-for-authors,https://www.journals.elsevier.com/developmental-cognitive-neuroscience/editorial-board,,https://www.journals.elsevier.com/developmental-cognitive-neuroscience,FALSE,,The Flux Society for Developmental Cognitive Neuroscience,http://www.fluxconference.com/,,https://www.wikidata.org/wiki/Q5266802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0264-410X,Vaccine,,http://www.elsevier.com/journals/vaccine/0264-410x/guide-for-authors,https://www.journals.elsevier.com/vaccine/editorial-board,,https://www.journals.elsevier.com/vaccine,TRUE,,The Edward Jenner Society and The Japanese Society for Vaccinology,http://www.edwardjennersociety.org/index.html,,https://www.wikidata.org/wiki/Q7907941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0892-0362,Neurotoxicology and teratology,,http://www.elsevier.com/journals/neurotoxicology-and-teratology/0892-0362/guide-for-authors,https://www.journals.elsevier.com/neurotoxicology-and-teratology/editorial-board,,https://www.journals.elsevier.com/neurotoxicology-and-teratology,TRUE,,The Developmental Neurotoxicology Society,http://www.dntshome.org/,,https://www.wikidata.org/wiki/Q15097918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0360-1285,Progress in energy and combustion science,,http://www.elsevier.com/journals/progress-in-energy-and-combustion-science/0360-1285/guide-for-authors,https://www.journals.elsevier.com/progress-in-energy-and-combustion-science/editorial-board,,https://www.journals.elsevier.com/progress-in-energy-and-combustion-science,TRUE,,The Combustion Institute,https://www.combustioninstitute.org/pages/page35.php,,https://www.wikidata.org/wiki/Q15756178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540-7489,Proceedings of the Combustion Institute,,http://www.elsevier.com/journals/proceedings-of-the-combustion-institute/1540-7489/guide-for-authors,https://www.journals.elsevier.com/proceedings-of-the-combustion-institute/editorial-board,,https://www.journals.elsevier.com/proceedings-of-the-combustion-institute,TRUE,,The Combustion Institute,http://www.combustioninstitute.org/,,https://www.wikidata.org/wiki/Q15766629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878-6146,Fungal biology,,http://www.elsevier.com/journals/fungal-biology/1878-6146/guide-for-authors,https://www.journals.elsevier.com/fungal-biology/editorial-board,,https://www.journals.elsevier.com/fungal-biology,TRUE,,The British Mycological Society,http://www.britmycolsoc.org.uk/,,https://www.wikidata.org/wiki/Q5509159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0953-7562,Mycological research,,,,,https://www.journals.elsevier.com/mycological-research,FALSE,,The British Mycological Society,http://www.britmycolsoc.org.uk/,,https://www.wikidata.org/wiki/Q21385312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0304-4017,Veterinary parasitology,,http://www.elsevier.com/journals/veterinary-parasitology/0304-4017/guide-for-authors,https://www.journals.elsevier.com/veterinary-parasitology/editorial-board,,https://www.journals.elsevier.com/veterinary-parasitology,TRUE,,"The American Association of Veterinary Parasitologists (AAVP), the European Veterinary Parasitology College (EVPC) and the World Association for the Advancement of Veterinary Parasitology (WAAVP)",http://www.aavp.org/; http://www.eurovetpar.org/; http://www.waavp.org/,,https://www.wikidata.org/wiki/Q7923711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2666-2507,JTCVS techniques,,http://www.elsevier.com/journals/jtcvs-techniques/2666-2507/guide-for-authors,https://www.journals.elsevier.com/jtcvs-techniques/editorial-board,,https://www.journals.elsevier.com/jtcvs-techniques,FALSE,,The American Association for Thoracic Surgery,https://www.aats.org/aatsimis/AATSWeb,,https://www.wikidata.org/wiki/Q96727248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0148-6195,Journal of economics and business,Journal of Economics and Business,https://www.elsevier.com/journals/journal-of-economics-and-business/0148-6195/guide-for-authors,https://www.journals.elsevier.com/journal-of-economics-and-business/editorial-board,,https://www.journals.elsevier.com/journal-of-economics-and-business,FALSE,,Temple University,http://www.temple.edu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875-9572,Pediatrics & neonatology,,http://www.elsevier.com/journals/pediatrics-and-neonatology/1875-9572/guide-for-authors,https://www.journals.elsevier.com/pediatrics-and-neonatology/editorial-board,,https://www.journals.elsevier.com/pediatrics-and-neonatology,TRUE,,Taiwan Pediatric Association; Taiwan Society of Neonatology,http://www.pediatr.org.tw/english/history.asp; http://www.son.org.tw/english/about/history.asp,,https://www.wikidata.org/wiki/Q26853906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877-5756,Sexual & reproductive healthcare,,http://www.elsevier.com/journals/sexual-and-reproductive-healthcare/1877-5756/guide-for-authors,https://www.journals.elsevier.com/sexual-and-reproductive-healthcare/editorial-board,,https://www.journals.elsevier.com/sexual-and-reproductive-healthcare,TRUE,,"Swedish Association of Midwives Affiliated with the Norwegian Association of Midwives, the Danish Association of Midwives and the Icelandic Midwifery Association","http://www.barnmorskeforbundet.se/sv/om_forbundet/in_english.html, http://www.jordmorforeningen.no/Hjem/Organisasjon/English, http://www.jordemoderforeningen.dk/english",,https://www.wikidata.org/wiki/Q15817432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0167-4730,Structural safety,,https://www.elsevier.com/journals/structural-safety/0167-4730/guide-for-authors,https://www.journals.elsevier.com/structural-safety/editorial-board,,https://www.journals.elsevier.com/structural-safety,TRUE,,Structural Safety,https://www.journals.elsevier.com/structural-safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2173-5786,Actas urológicas españolas,,http://www.elsevier.com/journals/actas-urologicas-espanolas-english-edition/2173-5786/guide-for-authors,https://www.journals.elsevier.com/actas-urologicas-espanolas-english-edition/editorial-board,,https://www.journals.elsevier.com/actas-urologicas-espanolas-english-edition,TRUE,,Spanish Urology Association and American Urology Confederation,https://www.aeu.es/ https://caunet.org/en/home/,https://twitter.com/actasurologicas,https://www.wikidata.org/wiki/Q53996383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138-3593,SEMERGEN,Medicina de Familia. SEMERGEN,https://www.elsevier.com/journals/medicina-de-familia-semergen/1138-3593/guide-for-authors,https://www.journals.elsevier.com/medicina-de-familia-semergen/editorial-board,,https://www.journals.elsevier.com/medicina-de-familia-semergen,TRUE,,Spanish Society of Primary Care Physicians,http://ghdx.healthdata.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699-8855,Revista española de patología,,http://www.elsevier.com/journals/revista-espanola-de-patologia/1699-8855/guide-for-authors,https://www.journals.elsevier.com/revista-espanola-de-patologia/editorial-board,,https://www.journals.elsevier.com/revista-espanola-de-patologia,TRUE,,Spanish Society of Pathology (SEAP),,,https://www.wikidata.org/wiki/Q27723730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888-4415,Revista española de cirugía ortopédica y traumatología,,http://www.elsevier.com/journals/revista-espanola-de-cirugia-ortopedica-y-traumatologia/1888-4415/guide-for-authors,https://www.journals.elsevier.com/revista-espanola-de-cirugia-ortopedica-y-traumatologia/editorial-board,,https://www.journals.elsevier.com/revista-espanola-de-cirugia-ortopedica-y-traumatologia,TRUE,,Spanish Society of Orthopaedic Surgery and Traumatology,https://www.secot.es/,,https://www.wikidata.org/wiki/Q27724540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2253-8089,Revista española de medicina nuclear e imagen molecular,,http://www.elsevier.com/journals/revista-espanola-de-medicina-nuclear-e-imagen-molecular-english-edition/2253-8089/guide-for-authors,https://www.journals.elsevier.com/revista-espanola-de-medicina-nuclear-e-imagen-molecular-english-edition/editorial-board,,https://www.journals.elsevier.com/revista-espanola-de-medicina-nuclear-e-imagen-molecular-english-edition,TRUE,,Spanish Society of Nuclear Medicine and Molecular Imaging,http://www.semnim.es/,,https://www.wikidata.org/wiki/Q24174898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529-8496,Neurocirugía,,http://www.elsevier.com/journals/neurocirugia-english-edition/2529-8496/guide-for-authors,https://www.journals.elsevier.com/neurocirugia-english-edition/editorial-board,,https://www.journals.elsevier.com/neurocirugia-english-edition,TRUE,,Spanish Society of Neurosurgery,https://senec.es/,,https://www.wikidata.org/wiki/Q96718493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2514,Nefrología,,http://www.elsevier.com/journals/nefrologia-english-edition/2013-2514/guide-for-authors,https://www.journals.elsevier.com/nefrologia-english-edition/editorial-board,,https://www.journals.elsevier.com/nefrologia-english-edition,TRUE,,Spanish Society of Nephrology,https://www.senefro.org/,,https://www.wikidata.org/wiki/Q50815121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2254-8874,Revista clínica española,,http://www.elsevier.com/journals/revista-clinica-espanola-english-edition/2254-8874/guide-for-authors,https://www.journals.elsevier.com/revista-clinica-espanola-english-edition/editorial-board,,https://www.journals.elsevier.com/revista-clinica-espanola-english-edition,FALSE,,Spanish Society of Internal Medicine,https://www.fesemi.org/,https://twitter.com/rce_semi,https://www.wikidata.org/wiki/Q27713057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530-0164,"Endocrinología, diabetes y nutrición",,http://www.elsevier.com/journals/endocrinologia-diabetes-y-nutricion/2530-0164/guide-for-authors,https://www.journals.elsevier.com/endocrinologia-diabetes-y-nutricion/editorial-board,,https://www.journals.elsevier.com/endocrinologia-diabetes-y-nutricion,TRUE,,"Spanish Society of Endocrinology and Nutrition (Sociedad Española de Endocrinología y Nutrición, SEEN) and the Spanish Society of Diabetes (Sociedad Española de Diabetes, SED)",,,https://www.wikidata.org/wiki/Q63882893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131-3587,Revista española de cardiología,Revista Española de Cardiología Suplementos,https://NotAvailable,https://www.journals.elsevier.com/revista-espanola-de-cardiologia-suplementos/editorial-board,,https://www.journals.elsevier.com/revista-espanola-de-cardiologia-suplementos,TRUE,,Spanish Society of Cardiology,https://secardiologia.es/,,https://www.wikidata.org/wiki/Q63883034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605-1532,"REC, Cardioclinics",,http://www.elsevier.com/journals/rec-cardioclinics/2605-1532/guide-for-authors,https://www.journals.elsevier.com/rec-cardioclinics/editorial-board,,https://www.journals.elsevier.com/rec-cardioclinics,TRUE,,Spanish Society of Cardiology,https://secardiologia.es/,,https://www.wikidata.org/wiki/Q96330757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885-5857,Revista española de cardiología,,http://www.elsevier.com/journals/revista-espanola-de-cardiologia-english-edition/1885-5857/guide-for-authors,https://www.journals.elsevier.com/revista-espanola-de-cardiologia-english-edition/editorial-board,https://www.facebook.com/revespcardiol/,https://www.journals.elsevier.com/revista-espanola-de-cardiologia-english-edition,TRUE,,Spanish Society of Cardiology,https://secardiologia.es/,,https://www.wikidata.org/wiki/Q2467119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2659-6636,Open respiratory archives,,http://www.elsevier.com/journals/open-respiratory-archives/2659-6636/guide-for-authors,https://www.journals.elsevier.com/open-respiratory-archives/editorial-board,,https://www.journals.elsevier.com/open-respiratory-archives,TRUE,,Spanish Respiratory Society of Pulmonology and Thoracic Surgery,https://www.separ.es/,https://twitter.com/OpenRespiratory,https://www.wikidata.org/wiki/Q96722208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0254-6299,South African journal of botany,,http://www.elsevier.com/journals/south-african-journal-of-botany/0254-6299/guide-for-authors,https://www.journals.elsevier.com/south-african-journal-of-botany/editorial-board,https://m.facebook.com/profile.php?id=746426348771908&__tn__=%2AsH-R,https://www.journals.elsevier.com/south-african-journal-of-botany,TRUE,,South African Association of Botanists,https://sabotanyblog.wordpress.com/,,https://www.wikidata.org/wiki/Q6132741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002-0160,Pedosphere,,http://www.elsevier.com/journals/pedosphere/1002-0160/guide-for-authors,https://www.journals.elsevier.com/pedosphere/editorial-board,,https://www.journals.elsevier.com/pedosphere,TRUE,,"Soil Science Society of China; the Institute of Soil Science, Chinese Academy of Sciences; and the State Key Laboratory...","http://www.csss.org.cn/en/index.asp, http://english.issas.cas.cn/, http://english.cas.cn/, and http://english.issas.cas.cn/rh/rd/200908/t20090827_34421.html",,https://www.wikidata.org/wiki/Q15753601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078-1439,Urologic oncology,Urologic Oncology: Seminars and Original Investigations,http://www.elsevier.com/journals/urologic-oncology-seminars-and-original-investigations/1078-1439/guide-for-authors,https://www.journals.elsevier.com/urologic-oncology-seminars-and-original-investigations/editorial-board,,https://www.journals.elsevier.com/urologic-oncology-seminars-and-original-investigations,TRUE,,Society of Urologic Oncology,http://suonet.org/default.aspx,https://twitter.com/uroloncol?lang=en,https://www.wikidata.org/wiki/Q2113446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0039-6060,Surgery,,http://www.elsevier.com/journals/surgery/0039-6060/guide-for-authors,https://www.journals.elsevier.com/surgery/editorial-board,https://www.facebook.com/SurgJournal/,https://www.journals.elsevier.com/surgery,TRUE,,"Society of University Surgeons, Central Surgical Association, and the American Association of Endocrine Surgeons","https://www.susweb.org/, http://www.centralsurg.org/index.asp and http://www.endocrinesurgery.org/",https://twitter.com/SurgJournal,https://www.wikidata.org/wiki/Q15731526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0969-8051,Nuclear medicine and biology,,http://www.elsevier.com/journals/nuclear-medicine-and-biology/0969-8051/guide-for-authors,https://www.journals.elsevier.com/nuclear-medicine-and-biology/editorial-board,,https://www.journals.elsevier.com/nuclear-medicine-and-biology,TRUE,,Society of Radiopharmaceutical Sciences,http://www.srsweb.org/,,https://www.wikidata.org/wiki/Q7067979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
