issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page,linkedin_url,society_organization_1,society_organization_2,society_organization_3,society_organization_link_1,society_organization_link_2,society_organization_link_3,twitter_url,wikidata_url
0003-9306,Archiv für Naturschutz und Landschaftsforschung,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15753834
0964-704X,Journal of the history of the neurosciences,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=njhn20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=njhn20,,https://www.tandfonline.com/toc/njhn20/current,,,,,,,,,https://www.wikidata.org/wiki/Q6296154
0003-942X,Archiv für Tierernährung,,,,,https://www.tandfonline.com/toc/gaan19/current,,,,,,,,,https://www.wikidata.org/wiki/Q27709187
0966-095X,The British journal of holocaust education,,,,,https://www.tandfonline.com/toc/rhos18/current,,,,,,,,,
0004-6973,Atmosphere (Toronto),,,,,,,,,,,,,,
1541-0870,Journal of gay & lesbian issues in education,,,,,,,,,,,,,,
0966-9760,International journal of early years education,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ciey20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ciey20,,https://www.tandfonline.com/toc/ciey20/current,,,,,,,,https://twitter.com/ijearlyyearsedu,https://www.wikidata.org/wiki/Q15764413
0967-9782,British ceramic transactions,,,,,https://www.tandfonline.com/toc/yaac19/current,,,,,,,,,https://www.wikidata.org/wiki/Q96328931
1542-4049,Journal of e-government,,,,,https://www.tandfonline.com/toc/wzeg20/current,,,,,,,,,
0968-1221,British journal of ethnomusicology,,,,,https://www.tandfonline.com/toc/remf19/current,,,,,,,,,
1545-5823,Futures for small speculators,,,,,,,,,,,,,,
0968-2481,British elections and parties yearbook,,,,,https://www.tandfonline.com/toc/fbep18/current,,,,,,,,,
0005-772X,The bee world,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tbee20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tbee20,,https://www.tandfonline.com/toc/tbee20/current,,The International Bee Research Association,,,https://ibra.org.uk/,,,,
0007-0599,British corrosion journal,,,,,https://www.tandfonline.com/toc/ycst19/current,,,,,,,,,
0969-3661,Eckhart review,,,,,https://www.tandfonline.com/toc/ymmt19/current,,,,,,,,,https://www.wikidata.org/wiki/Q96695786
0007-9006,CRC critical reviews in food technology,,,,,,,,,,,,,,
0969-7950,The British journal of developmental disabilities,,,,,https://www.tandfonline.com/toc/yjdd19/current,,,,,,,,,https://www.wikidata.org/wiki/Q15749483
1551-7853,European diabetes nursing,,,,,https://www.tandfonline.com/toc/yidn19/current,,,,,,,,,https://www.wikidata.org/wiki/Q15753193
0008-7041,The Cartographic journal,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ycaj20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ycaj20,,https://www.tandfonline.com/toc/ycaj20/current,,The British Cartographic Society (BCS),,,http://www.cartography.org.uk/,,,https://twitter.com/cartojnl,https://www.wikidata.org/wiki/Q97360424
1555-2764,Asian security,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=fasi20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=fasi20,,https://www.tandfonline.com/toc/fasi20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15764713
0969-9260,Progress in palliative care,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yppc20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yppc20,,https://www.tandfonline.com/toc/yppc20/current,,,,,,,,https://twitter.com/progpalliatcare,https://www.wikidata.org/wiki/Q27723729
0009-4552,Chinese economic studies,,,,,https://www.tandfonline.com/toc/mces19/current,,,,,,,,,https://www.wikidata.org/wiki/Q63717728
1559-6893,Museums & social issues,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15761595
0970-0161,Strategic Analysis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rsan20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rsan20,,https://www.tandfonline.com/toc/rsan20/current,,Manohar Parrikar Institute for Defence Studies and Analyses,,,https://www.idsa.in/,,,,https://www.wikidata.org/wiki/Q15751296
0974-7338,IETE journal of education,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tije20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tije20,,https://www.tandfonline.com/toc/tije20/current,,Institution of Electronics and Telecommunication Engineers,,,http://www.iete.org/,,,,https://www.wikidata.org/wiki/Q68825991
1561-4417,Clean air: environmental combustion technologies,,,,,,,,,,,,,,
1561-5324,Intellectual news,,,,,https://www.tandfonline.com/toc/rihr19/current,,,,,,,,,
0011-9253,Design,,,,,,,,,,,,,,
1015-8782,The Southern African journal of epidemiology & infection,,,,,https://www.tandfonline.com/toc/ojid19/current,,,,,,,,,https://www.wikidata.org/wiki/Q27721237
1574-0773,Journal of conflict archaeology,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yjca20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yjca20,,https://www.tandfonline.com/toc/yjca20/current,,,,,,,,,https://www.wikidata.org/wiki/Q44492240
0013-1911,Educational review,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=cedr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=cedr20,https://www.facebook.com/EdReview/,https://www.tandfonline.com/toc/cedr20/current,,,,,,,,https://twitter.com/edreview,https://www.wikidata.org/wiki/Q15755856
0020-3203,Journal of the Institute of Wood Science,,,,,https://www.tandfonline.com/toc/ywpj19/current,,,,,,,,,https://www.wikidata.org/wiki/Q96329819
1651-3037,Forskningsrapporter,,,,,,,,,,,,,,
1023-6627,Multiple valued logic (Print),Multiple valued logic,,,,,,,,,,,,,
1024-5286,"Studies in cultures, organizations and societies",,,,,https://www.tandfonline.com/toc/gsco19/current,,,,,,,,,https://www.wikidata.org/wiki/Q107064582
0020-773X,The International journal of the addictions,,,,,,,,,,,,,,
1738-6357,Integrative Biosciences,,,,,https://www.tandfonline.com/toc/tacs19/current,,,,,,,,,
1024-5332,Hematology,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yhem20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yhem20,,https://www.tandfonline.com/toc/yhem20/current,,International Society of Hematology,,,http://www.ishworld.org/,,,,https://www.wikidata.org/wiki/Q15752084
0021-1915,Isotopenpraxis,,,,,,,,,,,,,,
1740-7141,Journal of adult theological education,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15754805
1026-0218,Sites (Amsterdam),,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96731224
1026-1133,World leisure & recreation,,,,,,,,,,,,,,
1741-7538,Journal of Atmospheric & Ocean Science,,,,,https://www.tandfonline.com/toc/ggao20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15755814
1026-549X,Radiation effects and defects in solids (CD-ROM),Radiation effects and defects in solids,,,,,,,,,,,,,
1742-8173,Philosophical practice,,,,,https://www.tandfonline.com/toc/tphp20/current,,American Philosophical Practitioners Association,,,https://www.appa.edu/,,,,https://www.wikidata.org/wiki/Q15751667
0022-0671,The Journal of educational research,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=vjer20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=vjer20,,https://www.tandfonline.com/toc/vjer20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15764524
1026-7158,Journal of drug targeting (CD-ROM),Journal of drug targeting,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=idrt20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=idrt20,,https://www.tandfonline.com/toc/idrt20/current,,,,,,,,,https://www.wikidata.org/wiki/Q6295099
0022-2666,The journal of mental subnormality,,,,,https://www.tandfonline.com/toc/yjdd17/current,,,,,,,,,https://www.wikidata.org/wiki/Q27718104
1743-6753,Advances in applied ceramics,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yaac20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yaac20,,https://www.tandfonline.com/toc/yaac20/current,,"Institute of Materials, Minerals and Mining",,,https://www.iom3.org/,,,,https://www.wikidata.org/wiki/Q15752620
1745-0144,C21st society,,,,,,,,,,,,,,
1748-9237,Energy materials,,,,,https://www.tandfonline.com/toc/yema20/current,,Institute of Materials Minerals and Mining (IOM3),,,http://www.iom3.org/,,,,https://www.wikidata.org/wiki/Q63871633
0029-1455,Nordisk psykiatrisk tidsskrift,,,,,https://www.tandfonline.com/toc/ipsc19/current,,,,,,,,,https://www.wikidata.org/wiki/Q96326071
1750-1679,Journal of care services management,,,,,https://www.tandfonline.com/toc/ycsm20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15757225
0031-0328,Palestine exploration quarterly,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ypeq20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ypeq20,,https://www.tandfonline.com/toc/ypeq20/current,,Palestine Exploration Fund,,,https://www.pef.org.uk/,,,,https://www.wikidata.org/wiki/Q15733002
1750-3132,Studies in Russian and Soviet cinema,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rrsc20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rrsc20,,https://www.tandfonline.com/toc/rrsc20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15750985
0032-0447,Plains anthropologist,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ypan20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ypan20,,https://www.tandfonline.com/toc/ypan20/current,,Plains Anthropological Society (PAS),,,http://www.plainsanthropologicalsociety.org/,,,,https://www.wikidata.org/wiki/Q15764420
1750-984X,International review of sport and exercise psychology,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rirs20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rirs20,,https://www.tandfonline.com/toc/rirs20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15762214
1026-776X,SAR and QSAR in environmental research (CD-ROM),SAR and QSAR in environmental research,,,,,,,,,,,,,
0032-5899,Powder Metallurgy,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ypom20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ypom20,,https://www.tandfonline.com/toc/ypom20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15764087
1751-5831,Tribology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q53994880
1752-0169,English Heritage historical review,,,,,https://www.tandfonline.com/toc/yehr20/current,,,,,,,,,https://www.wikidata.org/wiki/Q44178095
1752-6272,Journal of war and culture studies,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ywac20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ywac20,,https://www.tandfonline.com/toc/ywac20/current,,,,,,,,,https://www.wikidata.org/wiki/Q56317766
0032-9436,Problems of economics,,,,,,,,,,,,,,
1753-3031,Journal of management & marketing in healthcare,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15766400
0033-2747,Psychiatry,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=upsy20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=upsy20,,https://www.tandfonline.com/toc/upsy20/current,,Washington School of Psychiatry,,,http://www.wspdc.org/,,,,https://www.wikidata.org/wiki/Q15760563
0034-5334,Research management,,,,,,,,,,,,,,
1028-415X,Nutritional neuroscience,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ynns20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ynns20,,https://www.tandfonline.com/toc/ynns20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15716682
1753-6146,International musculoskeletal medicine,,,,,https://www.tandfonline.com/toc/yimm20/current,,British Institute of Musculoskeletal Medicine (BIMM),,,http://tandfonline.com/action/journalInformation?show=societyInformation&journalCode=YIMM20,,,,https://www.wikidata.org/wiki/Q15752540
1028-6586,Journal Of Crash Prevention And Injury Control,,,,,https://www.tandfonline.com/toc/gcpi19/current,,,,,,,,,
1756-073X,Practical theology,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yprt20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yprt20,,https://www.tandfonline.com/toc/yprt20/current,,The British & Irish Association for Practical Theology,Scottish Association for Pastoral Care and Counselling,,https://www.biapt.org/,https://www.sapcc.org.uk/,,,https://www.wikidata.org/wiki/Q15756294
1028-7825,Human reproduction and genetic ethics,,,,,https://www.tandfonline.com/toc/ynbi19/current,,,,,,,,,https://www.wikidata.org/wiki/Q15817540
0036-9225,Scottish geographical magazine,,,,,https://www.tandfonline.com/toc/rsgj19/current,,,,,,,,,
1756-5529,Climate and development,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tcld20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tcld20,,https://www.tandfonline.com/toc/tcld20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15817682
0038-7169,Speech monographs,,,,,https://www.tandfonline.com/toc/rcmm19/current,,,,,,,,,
1757-0638,Comparative and continental philosophy,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yccp20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yccp20,,https://www.tandfonline.com/toc/yccp20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15817172
1034-9952,"Policy, organisation and society",,,,,https://www.tandfonline.com/toc/rpas19/current,,,,,,,,,
1036-6733,Annual review of health social sciences,,,,,https://www.tandfonline.com/toc/rhsr19/current,,,,,,,,,
1757-0921,Pharmaceutical programming,,,,,https://www.tandfonline.com/toc/ypha20/current,,,,,,,,,https://www.wikidata.org/wiki/Q96725332
1036-9708,Journal of tertiary education administration,,,,,https://www.tandfonline.com/toc/cjhe19/current,,,,,,,,,
1757-8949,Usus antiquior,,,,,https://www.tandfonline.com/toc/yusu20/current,,,,,,,,,https://www.wikidata.org/wiki/Q96732125
0039-6265,Survey review,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ysre20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ysre20,,https://www.tandfonline.com/toc/ysre20/current,,Survey Review Ltd,,,http://www.surveyreview.org/,,,,https://www.wikidata.org/wiki/Q15762833
1040-2136,Strategies,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ustr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ustr20,,https://www.tandfonline.com/toc/ustr20/current,,,,,,,,,
0040-4969,Textile history,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ytex20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ytex20,,https://www.tandfonline.com/toc/ytex20/current,,Pasold Research Fund,,,http://www.pasold.co.uk/index,,,,https://www.wikidata.org/wiki/Q15716432
1758-1206,The international journal for the history of engineering & technology,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yhet20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yhet20,,https://www.tandfonline.com/toc/yhet20/current,,The Newcomen Society,,,http://newcomen.com/,,,,https://www.wikidata.org/wiki/Q15752990
1041-2573,Exemplaria,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yexm20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yexm20,https://www.facebook.com/Exemplaria-107215749300633/,https://www.tandfonline.com/toc/yexm20/current,,,,,,,,https://twitter.com/readexemplaria,https://www.wikidata.org/wiki/Q15755146
0040-8573,Today's speech,,,,,,,,,,,,,,
1758-8979,"Bubble science, engineering & technology",,,,,https://www.tandfonline.com/toc/ybub20/current,,,,,,,,,https://www.wikidata.org/wiki/Q26842601
1042-8224,Journal of multicultural social work,,,,,https://www.tandfonline.com/toc/wzmu20/current,,,,,,,,,
0043-7956,Word,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rwrd20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rwrd20,,https://www.tandfonline.com/toc/rwrd20/current,,International Linguistic Association,,,http://hallidaycentre.cityu.edu.hk/ila/index.aspx,,,,https://www.wikidata.org/wiki/Q7953955
1759-7536,Language & history,,,,,,,,,,,,,,
1043-643X,Chinese historians,,,,,https://www.tandfonline.com/toc/ytcr19/current,,,,,,,,,
0047-228X,Journal of clinical child psychology,,,,,,,,,,,,,,
1812-4461,The Journal of the European Pentecostal Theological Association,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yjpe20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yjpe20,,https://www.tandfonline.com/toc/yjpe20/current,,European Pentecostal Theological Association,,,http://www.eptaweb.org/,,,,https://www.wikidata.org/wiki/Q15757122
0047-729X,Midland History,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ymdh20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ymdh20,https://www.facebook.com/Midland-History-102902831669272/,https://www.tandfonline.com/toc/ymdh20/current,,,,,,,,https://twitter.com/midlandhistory,https://www.wikidata.org/wiki/Q15755835
1815-3852,Maǧallaẗ ittiḥād al-ǧāmiʻāẗ al-ʻarabiyyaẗ li-l-ʻulūm al-asāsiyyaẗ wa-al-taṭbīqittaẗ,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96329602
0068-1288,Journal of the British Archaeological Association,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yjba20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yjba20,,https://www.tandfonline.com/toc/yjba20/current,,British Archaeological Association,,,http://thebaa.org/,,,,https://www.wikidata.org/wiki/Q15752325
1832-4460,The Surveyor,,,,,,,,,,,,,,
1049-6467,Journal of vegetable crop production,,,,,https://www.tandfonline.com/toc/wzjv20/current,,,,,,,,,
1836-6503,Australian journal of maritime and ocean affairs,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ramo20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ramo20,,https://www.tandfonline.com/toc/ramo20/current,,,,,,,,,https://www.wikidata.org/wiki/Q15751598
0075-1634,Italian studies,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yits20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yits20,,https://www.tandfonline.com/toc/yits20/current,,Society for Italian Studies (SIS),,,http://italianstudies.org.uk/,,,,https://www.wikidata.org/wiki/Q15764180
1050-2289,Journal of religious gerontology,,,,,https://www.tandfonline.com/toc/wzrg20/current,,,,,,,,,
1837-4905,Advances in mental health,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ramh20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ramh20,https://www.facebook.com/AdvancesinMentalHealth/,https://www.tandfonline.com/toc/ramh20/current,,,,,,,,https://twitter.com/AdvancesMH,
0075-8914,Levant,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ylev20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ylev20,,https://www.tandfonline.com/toc/ylev20/current,,Council for British Research in the Levant,,,http://cbrl.org.uk/,,,,https://www.wikidata.org/wiki/Q15761348
1868-0860,Journal of paper conservation,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yjpc20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yjpc20,,https://www.tandfonline.com/toc/yjpc20/current,,International Association of Book and Paper Conservators,,,http://www.iada-home.org/en.html,,,,https://www.wikidata.org/wiki/Q63871712
1050-7051,Journal of hospitality & leisure marketing,,,,,https://www.tandfonline.com/toc/whmm19/current,,,,,,,,,
0076-6097,Medieval archaeology,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ymed20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ymed20,,https://www.tandfonline.com/toc/ymed20/current,,The Society for Medieval Archaeology,,,http://www.medievalarchaeology.co.uk/,,,,https://www.wikidata.org/wiki/Q15752389
1934-8908,The Hardy review,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96735618
1050-9844,Cartography and geographic information systems,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=tcag20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=tcag20,,https://www.tandfonline.com/toc/tcag20/current,,Cartography and Geographic Information Society,,,http://www.cartogis.org/index.php,,,,
0076-6275,Melbourne studies in education,,,,,https://www.tandfonline.com/toc/rcse19/current,,,,,,,,,
1936-1610,Journal of applied security research,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=wasr20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=wasr20,,https://www.tandfonline.com/toc/wasr20/current,,Security and Crime Prevention Section of the ACJS,,,http://www.acjs.org/page/SecurityandCrime,,,,
1052-0015,Journal of small fruit & viticulture,,,,,https://www.tandfonline.com/toc/wzsv20/current,,,,,,,,,
1053-8755,Journal of ministry in addiction & recovery,,,,,https://www.tandfonline.com/toc/wzma20/1/2,,,,,,,,,https://www.wikidata.org/wiki/Q15753437
1054-3414,Polymer reaction engineering,,,,,https://www.tandfonline.com/toc/lree20/current,,,,,,,,,
0078-172X,Northern history,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ynhi20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ynhi20,,https://www.tandfonline.com/toc/ynhi20/current,,,,,,,,https://twitter.com/northernhist?lang=en,https://www.wikidata.org/wiki/Q15767281
1938-6362,International journal of geotechnical engineering,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yjge20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yjge20,,https://www.tandfonline.com/toc/yjge20/current,,J. Ross Publishing,,,https://www.jrosspub.com/,,,,https://www.wikidata.org/wiki/Q15753034
0078-7191,Oxford German studies,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=yogs20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=yogs20,,https://www.tandfonline.com/toc/yogs20/current,,,,,,,,,https://www.wikidata.org/wiki/Q7115337
1055-1379,Journal of nutrition in recipe & menu development,,,,,https://www.tandfonline.com/toc/wznr20/current,,,,,,,,,
1938-8071,Literacy research and instruction,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ulri20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ulri20,,https://www.tandfonline.com/toc/ulri20/current,,Association of Literacy Educators & Researchers,,,http://www.aleronline.org/,,,,
0079-4236,Post-medieval archaeology,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ypma20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ypma20,,https://www.tandfonline.com/toc/ypma20/current,,The Society for Post-Medieval Archaeology,,,http://www.spma.org.uk/,,,,https://www.wikidata.org/wiki/Q15767464
1940-7890,Journal about women in higher education,,,,,,,,,,,,,,
0082-2884,Terrae incognitae,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=ytin20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=ytin20,,https://www.tandfonline.com/toc/ytin20/current,,Society for the History of Discoveries,,,http://www.sochistdisc.org/,,,,https://www.wikidata.org/wiki/Q7703209
1055-6699,Journal of health education,,,,,,,,,,,,,,
1056-4942,Public & access services quarterly,,,,,,,,,,,,,,
0084-5566,Planning & Environmental Law,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15760308
1940-9044,Forensic science policy & management,,,,,https://www.tandfonline.com/toc/ufpm20/current,,The American Society of Crime Laboratory Directors,,,http://ascld.org/,,,,https://www.wikidata.org/wiki/Q15816565
1056-7224,Religion & public education,,,,,,,,,,,,,,
1941-5257,Professional development in education,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=rjie20,https://www.tandfonline.com/action/journalInformation?show=editorialBoard&journalCode=rjie20,,https://www.tandfonline.com/toc/rjie20/current,,International Professional Development Association (IPDA),,,http://www.ipda.org.uk/,,,https://twitter.com/PDiEjournal,
