issn,journal_title,accurate_title,author_instructions,editorial_board,facebook_url,home_page,linkedin_url,society_organization_1,society_organization_2,society_organization_3,society_organization_link_1,society_organization_link_2,society_organization_link_3,twitter_url,wikidata_url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022-2135,Journal of labelled compounds,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27718086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074-3022,Liver transplantation and surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567-3173,EcoMat,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96695880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0730-2312,Journal of cellular biochemistry,,https://onlinelibrary.wiley.com/page/journal/10974644/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10974644/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10974644,,,,,,,,,https://www.wikidata.org/wiki/Q6294917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549-778X,Nonprofit communications report,,,https://onlinelibrary.wiley.com/page/journal/23258616/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/23258616,,,,,,,,,https://www.wikidata.org/wiki/Q59556532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055-7148,International journal of network management,,https://onlinelibrary.wiley.com/page/journal/10991190/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10991190/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10991190,,,,,,,,,https://www.wikidata.org/wiki/Q2294914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0156-8779,Australian journal of family therapy,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96706280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0960-7692,Ultrasound in obstetrics & gynecology,,https://onlinelibrary.wiley.com/page/journal/25738461/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/25738461/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/25738461,,International Society of Ultrasound in Obstetrics and Gynecology,,,https://www.isuog.org/,,,,https://www.wikidata.org/wiki/Q1817048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0310-6810,Australian journal of hospital pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0090-5461,Journal of non-white concerns in personnel and guidance,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96719712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0749-159X,Numerical methods for partial differential equations,,https://onlinelibrary.wiley.com/page/journal/10982426/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10982426/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10982426,,,,,,,,,https://www.wikidata.org/wiki/Q13905774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397-9070,JGH open,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96320595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520-6033,Biotechnology progress,,https://aiche.onlinelibrary.wiley.com/hub/journal/15206033/homepage/forauthors.html,https://aiche.onlinelibrary.wiley.com/hub/journal/15206033/homepage/editorialboard.html,,https://aiche.onlinelibrary.wiley.com/journal/15206033,,American Institute of Chemical Engineers,,,https://www.aiche.org/,,,,https://www.wikidata.org/wiki/Q15753227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475-5389,Journal for the anthropology of North America,,https://anthrosource.onlinelibrary.wiley.com/hub/journal/24755389/about/author-guidelines,https://anthrosource.onlinelibrary.wiley.com/hub/journal/24755389/editorial-board/editorial-board,,https://anthrosource.onlinelibrary.wiley.com/journal/15564819,,Society for the Anthropology of North America,American Anthropological Association,,http://sananet.org/,http://www.americananthro.org/,,https://twitter.com/jana_anthro?lang=en,https://www.wikidata.org/wiki/Q73541374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932-2054,Global business and organizational excellence,,https://onlinelibrary.wiley.com/page/journal/19322062/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/19322062/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/19322062,,,,,,,,,https://www.wikidata.org/wiki/Q53953280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036-1073,Health promotion journal of Australia,,https://onlinelibrary.wiley.com/page/journal/22011617/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/22011617/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/22011617,,Australian Health Promotion Association,,,https://www.healthpromotion.org.au/,,,https://twitter.com/healthprom_j_au,https://www.wikidata.org/wiki/Q15765128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354-4063,Tribotest,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15758604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532-060X,Journal of software maintenance and evolution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0368-1467,Journal of biochemical and microbiological technology and engineering,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96711648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449-296X,Journal of polymer science,,,,,,,,,,,,,https://twitter.com/jpolymsci?lang=en,https://www.wikidata.org/wiki/Q16797577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509-7075,ce/papers,,https://www.ernst-und-sohn.de/en/journals/cepapers?tab=autoren#rs,,,https://onlinelibrary.wiley.com/journal/25097075,,,,,,,,,https://www.wikidata.org/wiki/Q59554187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553-0841,Annals of periodontology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27714232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021-9967,Journal of comparative neurology,,https://onlinelibrary.wiley.com/page/journal/10969861/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10969861/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10969861,,,,,,,,,https://www.wikidata.org/wiki/Q3186907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618-0240,Engineering in life sciences,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15752832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021-8995,Journal of applied polymer science,,https://onlinelibrary.wiley.com/page/journal/10974628/homepage/author-guidelines,https://onlinelibrary.wiley.com/page/journal/10974628/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10974628,,,,,,,,,https://www.wikidata.org/wiki/Q2471539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098-5166,Student affairs today,,https://onlinelibrary.wiley.com/page/journal/19437552/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/19437552/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/19437552,,,,,,,,,https://www.wikidata.org/wiki/Q59556488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0193-7197,Journal of vinyl technology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96330239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0930-7516,Chemical engineering & technology,,https://onlinelibrary.wiley.com/page/journal/15214125/homepage/2044_forauthors.html,https://onlinelibrary.wiley.com/page/journal/15214125/homepage/2044_edbd.html,https://www.facebook.com/pages/category/Magazine/Chemical-Engineering-Technology-332857970094067/,https://onlinelibrary.wiley.com/journal/15214125,,,,,,,,,https://www.wikidata.org/wiki/Q15753162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0034-0553,Reading research quarterly,,https://ila.onlinelibrary.wiley.com/hub/journal/19362722/author-guidelines.html,https://ila.onlinelibrary.wiley.com/hub/journal/19362722/editorial-board.html,https://www.facebook.com/ILARRQ/groups,https://ila.onlinelibrary.wiley.com/journal/19362722,,International Literacy Association (ILA),,,https://www.literacyworldwide.org/,,,,https://www.wikidata.org/wiki/Q7300555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520-4081,Environmental toxicology,,https://onlinelibrary.wiley.com/page/journal/15227278/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15227278/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15227278,,,,,,,,,https://www.wikidata.org/wiki/Q15724487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1526-954X,Genesis,,https://onlinelibrary.wiley.com/page/journal/1526968x/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/1526968x/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/1526968X,,,,,,,,,https://www.wikidata.org/wiki/Q5532784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0263-841X,In practice,,,https://bvajournals.onlinelibrary.wiley.com/hub/journal/20427689/editorial-board,,https://onlinelibrary.wiley.com/journal/20427689,,BVA,,,https://www.bva.co.uk/,,,,https://www.wikidata.org/wiki/Q6010443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043-7347,Concepts in magnetic resonance,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q3344484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021-9541,Journal of cellular physiology,,https://onlinelibrary.wiley.com/page/journal/10974652/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10974652/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10974652,,,,,,,,,https://www.wikidata.org/wiki/Q1524270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0968-0802,Sustainable development,,https://onlinelibrary.wiley.com/page/journal/10991719/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10991719/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10991719,,International Sustainable Development Research Society (ISDRS),,,http://isdrs.org/,,,,https://www.wikidata.org/wiki/Q15755398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085-3278,Land degradation & development,,https://onlinelibrary.wiley.com/page/journal/1099145x/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/1099145x/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/1099145X,,,,,,,,,https://www.wikidata.org/wiki/Q15749634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050-1827,International journal of microwave and millimeter-wave computer-aided engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365-709X,Advanced materials technologies,,https://onlinelibrary.wiley.com/page/journal/2365709x/homepage/author-guidelines,https://onlinelibrary.wiley.com/page/journal/2365709x/homepage/2767_edbd.html,,https://onlinelibrary.wiley.com/journal/2365709X,,,,,,,,,https://www.wikidata.org/wiki/Q59554132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531-1864,Journal of organizational excellence,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96328922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0072-1050,Geological journal,,https://onlinelibrary.wiley.com/page/journal/10991034/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10991034/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10991034,,,,,,,,,https://www.wikidata.org/wiki/Q10504107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0956-666X,Lipid technology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27726604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723-8617,World Psychiatry,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q8036083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699-9307,Advanced nanoBiomed research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0027-2507,"The Mount Sinai journal of medicine, New York",,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q6923672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2058-3273,Journal of interdisciplinary nanomedicine,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q27727559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0015-8208,Fortschritte der Physik,,https://onlinelibrary.wiley.com/page/journal/15213978/2244_forauthors.html,https://onlinelibrary.wiley.com/page/journal/15213978/homepage/2031_edbd.html,,https://onlinelibrary.wiley.com/journal/15213978,,,,,,,,,https://www.wikidata.org/wiki/Q1439030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2352-8737,Alzheimer's & dementia,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15750965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615-4150,Advanced synthesis & catalysis,,https://onlinelibrary.wiley.com/page/journal/16154169/homepage/2258_author.html,https://onlinelibrary.wiley.com/page/journal/16154169/homepage/2258_edbd.html,https://www.facebook.com/AdvSynthCatal/,https://onlinelibrary.wiley.com/journal/16154169,,,,,,,,https://twitter.com/advsynthcatal?lang=en,https://www.wikidata.org/wiki/Q379735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052-2891,New directions for adult and continuing education,,https://onlinelibrary.wiley.com/page/journal/15360717/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15360717/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15360717,,,,,,,,,https://www.wikidata.org/wiki/Q53952495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0268-2575,Journal of chemical technology and biotechnology,,https://onlinelibrary.wiley.com/page/journal/10974660/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10974660/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10974660,,,,,,,,,https://www.wikidata.org/wiki/Q6294929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424-7755,Schweizerische Zeitschrift für Politikwissenschaft =,Swiss Political Science Review,https://onlinelibrary.wiley.com/page/journal/16626370/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/16626370/homepage/editorialboard.html,https://www.facebook.com/SwissPoliticalScienceReview/,https://onlinelibrary.wiley.com/journal/16626370,,Swiss Political Science Association,,,https://www.svpw-assp.ch/home/,,,https://twitter.com/spsr_rssp,https://www.wikidata.org/wiki/Q25021966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2044-3730,Trends - urology & men's health,,https://wchh.onlinelibrary.wiley.com/hub/journal/20443749/homepage/author-guidelines,https://wchh.onlinelibrary.wiley.com/hub/journal/20443749/homepage/editorial-board,,https://onlinelibrary.wiley.com/journal/20443749,,,,,,,,,https://www.wikidata.org/wiki/Q59556560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040-0397,Electroanalysis,,https://analyticalsciencejournals.onlinelibrary.wiley.com/hub/journal/15214109/homepage/2049_forauthors.html,https://analyticalsciencejournals.onlinelibrary.wiley.com/hub/journal/15214109/homepage/2049_edbd.html,,https://onlinelibrary.wiley.com/journal/15214109,,,,,,,,,https://www.wikidata.org/wiki/Q3050570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2578-1863,Human behavior and emerging technologies,,https://onlinelibrary.wiley.com/page/journal/25781863/author-guidelines,https://onlinelibrary.wiley.com/page/journal/25781863/homepage/editorial-board,,https://onlinelibrary.wiley.com/journal/25781863,,,,,,,,,https://www.wikidata.org/wiki/Q96321125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0044-3263,Zeitschrift für Pflanzenernährung und Bodenkunde,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q186718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438-7492,Macromolecular materials and engineering,,https://onlinelibrary.wiley.com/page/journal/14392054/homepage/author-guidelines,https://onlinelibrary.wiley.com/page/journal/14392054/homepage/2264_edbd.html,,https://onlinelibrary.wiley.com/journal/14392054,,,,,,,,,https://www.wikidata.org/wiki/Q3274920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042-7147,Polymers for advanced technologies,,https://onlinelibrary.wiley.com/page/journal/10991581/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10991581/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10991581,https://www.linkedin.com/company/polymers-for-advanced-technologies/,,,,,,,,https://www.wikidata.org/wiki/Q3004145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2642-2514,Precision medical sciences,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96727833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544-8444,"Population, space and place",,https://onlinelibrary.wiley.com/page/journal/15448452/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15448452/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15448452,,,,,,,,,https://www.wikidata.org/wiki/Q15760434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449-2994,Journal of polymer science,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96721298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161-2234,Thought,THOUGHT: A JOURNAL OF PHILOSOPHY,,https://onlinelibrary.wiley.com/page/journal/21612234/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/21612234,,,,,,,,,https://www.wikidata.org/wiki/Q7796972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0024-4201,Lipids,,https://aocs.onlinelibrary.wiley.com/hub/journal/15589307/forauthors.html,https://aocs.onlinelibrary.wiley.com/hub/journal/15589307/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15589307,,AOCS,,,https://www.aocs.org/,,,,https://www.wikidata.org/wiki/Q15756668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637-403X,Journal of advanced manufacturing and processing,,https://aiche.onlinelibrary.wiley.com/hub/journal/2637403x/homepage/author-guidelines,https://aiche.onlinelibrary.wiley.com/hub/journal/2637403x/homepage/editorial-board,,https://onlinelibrary.wiley.com/journal/2637403X,,American Institute of Chemical Engineers (AIChE),,,https://www.aiche.org/,,,,https://www.wikidata.org/wiki/Q59554255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0098-1532,Medical and pediatric oncology,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q93397756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051-5658,Remediation,,https://onlinelibrary.wiley.com/page/journal/15206831/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15206831/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15206831,,,,,,,,,https://www.wikidata.org/wiki/Q59556434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0749-6753,The international journal of health planning and management,,https://onlinelibrary.wiley.com/page/journal/10991751/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/10991751/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10991751,,,,,,,,,https://www.wikidata.org/wiki/Q15749466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0044-3050,Zeitschrift für mathematische Logik und Grundlagen der Mathematik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478-2189,Musculoskeletal care,,https://onlinelibrary.wiley.com/page/journal/15570681/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/15570681/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/15570681,,,,,,,,,https://www.wikidata.org/wiki/Q15750848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522-2055,North American journal of aquaculture,,https://afspubs.onlinelibrary.wiley.com/hub/journal/15488454/homepage/forauthors,https://afspubs.onlinelibrary.wiley.com/hub/journal/15488454/homepage/editorialboard,,https://onlinelibrary.wiley.com/journal/15488454,,,,,,,,,https://www.wikidata.org/wiki/Q15756307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0894-3796,Journal of organizational behavior,,,https://onlinelibrary.wiley.com/page/journal/10991379/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/10991379,,,,,,,,,https://www.wikidata.org/wiki/Q1709866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0031-9279,Physikalische Blätter,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96726013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0934-0866,Particle & particle systems characterization,,https://onlinelibrary.wiley.com/page/journal/15214117/homepage/author-guidelines,https://onlinelibrary.wiley.com/page/journal/15214117/homepage/2056_edbd.html,,https://onlinelibrary.wiley.com/journal/15214117,,,,,,,,,https://www.wikidata.org/wiki/Q15760402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572-1143,JOR spine,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q73541371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574-173X,Neuropsychopharmacology reports,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q96320308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939-5078,Wiley interdisciplinary reviews,WIREs Cognitive Science,https://onlinelibrary.wiley.com/page/journal/19395086/homepage/forauthors.html,https://onlinelibrary.wiley.com/page/journal/19395086/homepage/editorialboard.html,,https://onlinelibrary.wiley.com/journal/19395086,,,,,,,,https://twitter.com/wirescogsci?lang=en,https://www.wikidata.org/wiki/Q8001628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0020-9309,Internationale Revue der gesamten Hydrobiologie,,,,,,,,,,,,,,https://www.wikidata.org/wiki/Q15749873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
