issn,journal_title,accurate_title,author_instructions,editorial_board,home_page,society_organization_1,society_organization_link_1,twitter_url,wikidata_url
"[""2590-289X""]","Resources, conservation & recycling",Resources Conservation & Recycling X,,,https://www.sciencedirect.com/journal/resources-conservation-and-recycling-x,,,,https://www.wikidata.org/wiki/Q96718733
"[""2590-2903""]",Ecological engineering,Ecological Engineering: X,,,https://www.sciencedirect.com/journal/ecological-engineering-x,,,,https://www.wikidata.org/wiki/Q96324919
"[""2665-9026""]",Nutrition,,,,https://www.sciencedirect.com/journal/nutrition-x,,,,https://www.wikidata.org/wiki/Q96720354
"[""2666-5921""]",Natural hazards research,,http://www.keaipublishing.com/en/journals/natural-hazards-research/guide-for-authors/,https://www.sciencedirect.com/journal/natural-hazards-research/about/editorial-board,https://www.sciencedirect.com/journal/natural-hazards-research,,,,
"[""2666-6510""]",AI open,,http://www.keaipublishing.com/en/journals/ai-open/guide-for-authors/,https://www.sciencedirect.com/journal/ai-open/about/editorial-board,https://www.sciencedirect.com/journal/ai-open,,,,
"[""2667-3932""]",ISPRS open journal of photogrammetry and remote sensing,,https://www.elsevier.com/journals/isprs-open-journal-of-photogrammetry-and-remote-sensing/2667-3932/guide-for-authors,https://www.journals.elsevier.com/isprs-open-journal-of-photogrammetry-and-remote-sensing/editorial-board,https://www.journals.elsevier.com/isprs-open-journal-of-photogrammetry-and-remote-sensing,,,,
"[""2772-4158""]",Journal of computational mathematics and data science,,https://www.elsevier.com/journals/journal-of-computational-mathematics-and-data-science/2772-4158/guide-for-authors,https://www.journals.elsevier.com/journal-of-computational-mathematics-and-data-science/editorial-board,https://www.journals.elsevier.com/journal-of-computational-mathematics-and-data-science,,,,
"[""1026-3098"", ""2345-3605""]",Scientia iranica,,,,https://www.sciencedirect.com/journal/scientia-iranica,,,,https://www.wikidata.org/wiki/Q96728524
"[""1083-8791"", ""1523-6536""]",Biology of blood and marrow transplantation,,,,https://www.journals.elsevier.com/biology-of-blood-and-marrow-transplantation,,,,https://www.wikidata.org/wiki/Q15754328
"[""1548-5595"", ""1548-5609""]",Advances in chronic kidney disease,,https://www.elsevier.com/journals/advances-in-chronic-kidney-disease/1548-5595/guide-for-authors,https://www.journals.elsevier.com/advances-in-chronic-kidney-disease/editorial-board,https://www.journals.elsevier.com/advances-in-chronic-kidney-disease,,,,https://www.wikidata.org/wiki/Q15763121
"[""1568-4849"", ""2212-3857""]",Asian journal of social science,,https://www.elsevier.com/journals/asian-journal-of-social-science/1568-4849/guide-for-authors,https://www.journals.elsevier.com/asian-journal-of-social-science/editorial-board,https://www.journals.elsevier.com/asian-journal-of-social-science,,,,https://www.wikidata.org/wiki/Q15755892
"[""1872-6356"", ""0925-4773""]",Mechanisms of development,,,,https://www.journals.elsevier.com/mechanisms-of-development,,,,https://www.wikidata.org/wiki/Q6804657
"[""2040-4700"", ""2040-4719""]",Advances in animal biosciences,,,,https://www.sciencedirect.com/journal/advances-in-animal-biosciences,,,,https://www.wikidata.org/wiki/Q63871823
"[""2214-885X"", ""1288-3336""]",Encyclopédie médico-chirurgicale,EMC - Tecniche Chirurgiche Torace,,,https://www.journals.elsevier.com/emc-tecniche-chirurgiche-torace,,,,https://www.wikidata.org/wiki/Q96698070
"[""2214-904X"", ""1636-5577""]",Encyclopédie médico-chirurgicale,EMC - Tecniche Chirurgiche - Chirurgia Generale,,,https://www.journals.elsevier.com/emc-tecniche-chirurgiche-chirurgia-generale,,,,https://www.wikidata.org/wiki/Q96698055
"[""2405-8963"", ""2405-8971""]",IFAC-PapersOnLine,,https://www.elsevier.com/journals/ifac-papersonline/2405-8963/guide-for-authors,https://www.journals.elsevier.com/ifac-papersonline/editorial-board,https://www.journals.elsevier.com/ifac-papersonline,,,https://twitter.com/search?q=%23IFACPapersOnline,https://www.wikidata.org/wiki/Q42410807
"[""2451-9626"", ""2451-9634""]",Advances in biomembranes and lipid self-assembly,,,,https://www.sciencedirect.com/bookseries/advances-in-biomembranes-and-lipid-self-assembly,,,,https://www.wikidata.org/wiki/Q96325044
"[""2594-1518"", ""1405-0099""]",Cirujano general,,,,https://www.elsevier.es/es-revista-cirujano-general-218,,,,https://www.wikidata.org/wiki/Q96700991
"[""2667-0895"", ""2667-0909""]",Atherosclerosis plus,,https://www.elsevier.com/journals/atherosclerosis-plus/2667-0895/guide-for-authors,https://www.journals.elsevier.com/atherosclerosis-plus/editorial-board,https://www.journals.elsevier.com/atherosclerosis-plus,,,,
"[""1166-8237"", ""1769-6690"", ""0399-077X""]",Médecine et maladies infectieuses,,,,https://www.journals.elsevier.com/medecine-et-maladies-infectieuses,,,,https://www.wikidata.org/wiki/Q24247934
