,issn,status
181,2785-9568,200
182,2785-9606,200
183,2792-8934,404
184,0799-6616,404
185,2686-1836,200
186,2423-8112,200
187,2716-0742,200
188,2600-8661,404
189,2180-1738,404
190,2792-3967,404
191,2355-5416,200
192,2597-4351,200
193,2737-5897,404
194,2810-9104,404
195,2355-5408,200
196,2735-5446,200
197,2810-9090,404
198,2722-5860,200
199,2088-4869,200
200,1745-9001,404
201,2737-5900,404
202,1930-4641,404
203,2808-4861,404
204,2807-8829,404
205,2735-5462,200
206,2619-8363,200
207,2807-8659,404
208,2218-0907,404
209,2582-9211,404
210,2805-2927,200
211,2582-9394,404
212,2773-8752,200
213,2289-859X,404
214,2414-2204,200
215,2548-4621,200
216,2307-4345,200
217,2737-484X,404
218,2548-4648,200
219,2590-6666,404
220,2810-0999,404
221,2737-4831,404
222,2807-8667,404
223,2807-8837,404
224,2808-7178,404
225,2580-3700,200
226,2037-3597,200
227,2735-4806,200
228,2722-1210,200
229,2808-7380,404
230,2785-969X,200
231,1693-931X,200
232,2208-2409,200
233,2199-7292,200
234,2580-1864,200
235,2786-5622,200
236,2414-2131,200
237,2735-4393,200
238,2072-912X,200
239,2810-8159,404
240,2792-0542,404
241,2734-4487,200
242,2722-0427,200
243,2794-2899,404
244,2406-4157,200
245,2722-1474,200
246,2462-2095,404
247,1370-2262,200
248,2564-4998,404
249,2807-4068,404
250,2524-6089,404
251,1454-1513,200
252,2675-1542,200
253,2791-7835,404
254,2806-5727,404
255,2808-5361,200
256,2622-7762,200
257,0799-6632,404
258,2415-1351,200
259,2356-8690,200
260,0010-5392,200
261,0883-0351,404
262,2663-8991,200
263,2580-9504,200
264,2414-3634,200
265,1858-8034,404
266,2775-4367,200
267,2006-1137,200
268,2754-4311,404
269,2451-3652,200
270,2616-4825,200
271,1858-800X,404
272,2226-3276,200
273,2807-2170,404
274,2564-3843,404
275,1071-0483,404
276,2367-8410,200
277,2682-4558,200
278,1314-2593,200
279,0860-7079,404
280,2798-5741,404
281,2715-6702,200
282,2788-8991,200
283,2715-2979,200
284,2737-5730,404
285,2547-9199,404
286,2798-5733,404
287,2424-8371,404
288,2812-4774,200
289,2735-5403,200
290,1857-064X,200
291,2443-194X,200
292,1735-5133,200
293,2612-2693,200
294,1693-962X,200
295,0074-3917,404
296,2735-5012,200
297,2800-8669,404
298,1658-8770,404
299,2795-1618,404
300,2227-5398,200
301,2228-7493,200
302,2654-6582,200
303,2548-2106,200
304,2733-368X,404
305,2772-2457,404
306,2519-1748,200
307,2805-2625,200
308,2769-545X,404
309,2796-7719,404
310,2436-293X,404
311,2592-9054,404
312,2415-5187,200
313,2436-2956,404
314,2809-9680,404
315,2477-913X,200
316,2716-912X,404
317,2737-5633,404
318,2685-984X,200
319,2735-542X,200
320,2026-6340,404
321,2662-4338,200
322,2662-432X,200
323,2582-9572,404
324,2806-5522,404
325,2786-0310,200
326,2809-3763,404
327,2715-8012,200
328,2707-3130,200
329,2773-6202,404
330,2786-5355,200
331,2791-9323,404
332,2671-3969,404
333,2783-2678,404
334,2723-8083,200
335,0855-8515,404
336,2774-7603,200
337,2807-2618,404
338,1546-1904,404
339,2579-0285,404
340,1738-0170,200
341,1678-4510,404
342,1314-3379,200
343,2773-482X,404
344,2813-0146,404
345,2785-8863,404
346,2792-6834,404
347,2806-6073,404
348,2809-3712,404
349,2785-8391,404
350,0424-6373,200
351,2306-7632,200
352,2795-1952,200
353,2791-8823,404
354,2805-3230,200
355,2714-9439,200
356,0869-6101,200
357,2696-8525,404
358,2789-1577,200
359,2447-7028,200
360,2621-6566,200
361,2815-0066,404
362,2621-7627,200
363,2789-1569,200
364,2792-6818,200
365,2785-9002,404
366,2737-453X,404
367,2208-2360,200
368,2693-4965,200
369,2599-3232,200
370,2702-7910,200
371,1059-0941,404
372,2785-8715,404
373,2812-5088,200
374,2810-8388,404
375,2735-5381,200
376,2424-7804,404
377,2810-806X,404
378,2703-0326,200
379,2411-8966,200
380,2800-874X,404
381,2752-7522,200
382,1998-7862,200
383,2737-5234,404
384,0320-359X,200
385,2141-5595,200
386,2792-4084,404
387,2808-2990,404
388,2414-3693,200
389,2774-0315,404
390,2752-7514,200
391,2717-5367,404
392,2807-7431,404
393,1130-6378,200
394,2807-7385,404
395,2300-5963,200
396,2809-5472,404
397,0774-7136,200
398,2710-0448,200
399,2810-0786,404
400,2792-7598,404
401,2783-3852,200
402,2208-2441,200
403,2717-543X,404
404,2785-8731,404
405,2524-602X,404
406,2812-5185,200
407,2798-9186,404
408,1511-7813,404
409,2775-4723,200
410,2734-9918,200
411,2746-1130,200
412,2408-5170,200
413,2792-7601,404
414,1418-7191,200
415,2717-8870,404
416,2615-0425,200
417,1718-4657,200
418,2810-0417,404
419,0947-577X,404
420,2464-4617,200
421,2710-043X,200
422,2733-3957,404
423,2737-5943,404
424,2798-5318,404
425,2809-851X,404
426,2622-7142,200
427,2703-9196,404
428,1410-7112,200
429,2639-0590,200
430,2737-470X,404
431,2798-9178,404
432,2737-5951,404
433,2524-6038,404
434,2414-2360,200
435,2367-9379,200
436,2181-1695,404
437,2309-5784,200
438,2621-7368,200
439,2731-5312,200
440,2522-4670,200
441,2414-3642,200
442,2621-7473,200
443,2809-7939,404
444,2805-7643,404
445,2313-3589,200
446,1658-8967,404
447,2731-5304,200
448,2309-7485,200
449,2809-8099,404
450,2791-8831,404
451,2226-0803,200
452,2808-2826,404
453,1313-6909,200
454,2636-283X,200
455,2583-0562,200
456,2739-0349,404
457,2686-8970,200
458,2564-212X,404
459,2798-5164,200
460,2777-0923,200
461,2810-0492,404
462,2805-2447,404
463,2220-1122,200
464,2582-9645,404
465,0972-1584,200
466,2564-3193,404
467,2812-5223,200
468,2792-7350,404
469,2436-455X,404
470,2791-8351,404
471,2813-043X,404
472,2798-6543,200
473,2414-2212,200
474,2037-2426,200
475,2661-8389,200
476,2809-9702,404
477,2724-2722,200
478,2809-8544,404
479,2791-9781,404
480,2661-8370,200
481,2809-9745,404
482,2747-1934,200
483,2705-2222,200
484,2804-7370,404
485,2737-4475,404
486,1680-2721,200
487,2785-8979,404
488,2789-293X,200
489,2789-2921,200
490,2737-5587,404
491,2808-5515,404
492,2006-2745,200
493,2798-4311,404
494,2065-3131,200
495,2791-7436,404
496,2809-0756,200
497,2798-5199,200
498,2521-6015,200
499,1029-5968,200
500,2798-8333,404
501,2798-4125,404
502,2809-2805,200
503,2066-8961,200
504,2737-4467,404
505,2795-1871,404
506,2798-6233,404
507,2798-7426,200
508,2005-7458,200
509,2810-8175,404
510,2737-5579,404
511,2456-7760,200
512,2791-8270,404
513,2770-7997,404
514,0351-188X,404
515,2798-0197,200
516,2807-1549,404
517,2816-2587,404
518,2783-0179,200
519,2808-7941,404
520,2746-9786,200
521,2791-8564,404
522,2181-1482,404
523,2809-896X,404
524,2805-5756,404
525,2776-8449,200
526,2738-6996,200
527,2792-7997,404
528,1562-269X,200
529,2582-9610,404
530,2805-5926,404
531,2810-059X,404
532,2713-1211,200
533,0204-7934,200
534,2724-3346,200
535,2629-9968,200
536,2808-8042,404
537,2391-890X,200
538,2502-8502,200
539,2564-260X,404
540,2808-8220,200
541,2810-0743,404
542,2785-9118,404
543,2730-9495,200
544,2442-5087,200
545,0007-0920,200
546,2754-8775,404
547,2730-9509,200
548,2715-9469,200
549,2810-0832,404
550,2775-6777,200
551,1532-1827,200
552,1691-5844,200
553,2776-0685,200
554,1742-4712,200
555,2599-1469,200
556,2791-7363,404
557,2405-7177,200
558,2737-4432,404
559,2807-856X,404
560,2776-8554,200
561,2795-1782,200
562,2226-0838,200
563,2799-2276,404
564,2822-2253,404
565,2795-1774,200
566,2792-002X,404
567,2809-9826,200
568,2509-7458,200
569,2583-1194,404
570,2807-8616,200
571,2089-4554,200
572,0257-7364,200
573,2414-3588,200
574,2791-8165,404
575,1309-0127,200
576,2809-7599,404
577,2076-9326,200
578,2076-9555,200
579,2788-0095,404
580,2339-0492,200
581,2526-6675,200
582,1448-5109,404
583,9999-3724,404
584,2500-2864,200
585,2798-205X,200
586,2809-7467,404
587,2788-0087,404
588,2757-7511,404
589,0736-721X,404
590,2739-039X,404
591,2393-0837,200
592,2622-3635,200
593,2764-3999,200
594,2717-7475,404
595,2696-824X,404
596,2810-9465,404
597,2806-5840,404
598,2809-641X,200
599,2807-8756,200
600,2808-7933,404
601,2769-7738,200
602,2721-0308,200
603,2795-1812,404
604,2086-4515,200
605,2769-772X,200
606,2768-2765,200
607,2809-6002,200
608,2782-3792,200
609,2735-2331,404
610,2746-1483,200
611,2808-7364,404
612,2682-9177,404
613,2322-0856,200
614,2770-8292,404
615,2805-4350,404
616,2773-1332,200
617,0206-0965,200
618,2785-9266,404
619,2507-0711,200
620,2737-4416,404
621,2807-3347,200
622,2522-137X,200
623,2720-3921,200
624,2809-8064,404
625,2579-2229,200
626,2664-2085,200
627,2208-2417,200
628,2753-2364,404
629,2587-8778,200
630,2798-9798,404
631,0770-7576,200
632,2579-2245,200
633,2719-2547,404
634,2806-0954,404
635,2720-3913,200
636,2656-0577,200
637,2719-2539,404
638,2820-2430,200
639,2815-0120,200
640,2226-5392,200
641,2074-2649,200
642,2737-5331,404
643,2692-9481,200
644,1551-3440,200
645,2821-2851,404
646,2414-1992,200
647,2768-5586,200
648,2737-4890,404
649,2226-5384,200
650,2791-7495,404
651,2792-8713,404
652,2808-0009,200
653,2799-5615,404
654,2598-3172,200
655,2729-9759,404
656,2791-8106,404
657,1817-8170,200
658,2582-9270,404
659,2808-0831,200
660,2809-0225,200
661,2805-2803,200
662,2771-5906,404
663,2357-1330,200
664,2692-949X,200
665,2771-5957,404
666,2805-5500,404
667,2791-7851,404
668,2791-7584,404
669,2442-3009,200
670,2655-0881,200
671,1801-0865,200
672,2524-6062,404
673,2792-8624,404
674,2766-5526,200
675,0074-8536,404
676,2784-8949,200
677,2773-8353,404
678,2597-1417,404
679,2653-2220,404
680,1804-8358,200
681,2773-8361,404
682,2581-057X,200
683,2786-5398,200
684,2775-9180,200
685,2757-7988,404
686,2791-7940,404
687,2809-0373,200
688,2799-7057,404
689,2787-8201,404
690,2226-3322,200
691,2827-766X,404
692,1993-4882,200
693,2414-3596,200
694,2708-812X,200
695,2809-5030,404
696,2791-7630,404
697,2303-0577,200
698,2786-5401,200
699,2773-4870,404
700,2792-8632,404
701,2792-5897,404
702,2653-2239,404
703,2787-821X,404
704,2662-9062,200
705,2181-2799,404
706,2805-251X,200
707,2682-8235,404
708,2809-476X,200
709,2662-9054,200
710,1997-9258,200
711,0167-5357,404
712,2414-2263,200
713,0220-9554,404
714,2798-4826,200
715,2821-2924,404
716,2809-3291,404
717,2809-5227,404
718,2739-0330,404
719,2289-5884,404
720,2690-912X,200
721,2814-0230,404
722,2732-9178,404
723,0771-050X,404
724,1562-2940,200
725,2799-7014,404
726,2715-2359,200
727,2809-1442,404
728,2074-3041,404
729,0257-1030,404
730,2821-2843,404
731,2564-3282,404
732,2722-7707,200
733,2074-305X,404
734,2788-7162,200
735,2709-8788,200
736,2805-5195,404
737,2795-4005,404
738,2215-6615,200
739,2772-9710,200
740,2719-7506,200
741,2564-4661,404
742,2524-6127,404
743,2809-5650,404
744,2231-9433,200
745,2807-1735,200
746,2770-4580,404
747,2770-2928,200
748,2086-2393,200
749,2737-5773,404
750,2306-8787,200
751,2792-0321,404
752,2799-6999,404
753,2805-5152,404
754,1684-3533,404
755,1727-6942,200
756,2790-1203,200
757,2792-7709,404
758,0253-2778,200
759,2805-2544,200
760,2791-7401,404
761,2816-2420,404
762,2798-6586,404
763,2815-7125,404
764,2086-8774,200
765,2524-6135,404
766,2722-7987,200
767,0740-0675,200
768,0134-8515,200
769,2542-1085,200
770,2300-4673,200
771,2763-7883,200
772,2737-5765,404
773,2821-2835,404
774,2414-360X,200
775,2655-7916,200
776,2809-2384,200
777,2807-1948,404
778,2798-4184,200
779,2809-9966,404
780,2808-8107,404
781,2807-1700,404
782,2564-3185,404
783,2807-8500,404
784,2764-1929,200
785,2809-7831,404
786,2077-7639,200
787,2792-0062,404
788,2807-1077,404
789,2809-8013,404
790,2810-9325,404
791,2808-9626,404
792,2223-7240,200
793,2089-2527,200
794,9975-2371,404
795,2808-7135,404
796,1605-9921,200
797,2809-994X,404
798,2808-1471,200
799,2808-7089,404
800,2810-8248,404
801,2785-9541,200
802,2582-9033,404
803,2809-9818,404
804,2549-1911,200
805,2809-5782,404
806,2809-9605,404
807,2792-0763,404
808,2799-7898,404
809,2317-949X,200
810,2808-7275,404
811,2808-9634,404
812,2810-8353,404
813,2798-6616,404
814,2477-4030,200
815,2792-680X,404
816,2821-3416,404
817,2812-751X,200
818,2717-9907,404
819,2810-9333,404
820,2674-0621,404
821,2674-0702,404
822,2821-3408,404
823,2502-1591,200
824,2783-3453,200
825,2770-9752,404
826,2792-047X,404
827,2783-4220,404
828,1043-3915,404
829,2792-4157,404
830,2805-2757,200
831,2809-9214,404
832,2799-5496,404
833,1606-1330,200
834,2798-4966,200
835,2786-0078,200
836,2805-3036,200
837,2808-2869,404
838,2798-6403,404
839,2783-2716,404
840,2809-4689,404
841,2522-7963,200
842,2809-1736,404
843,2805-2722,200
844,2792-0550,404
845,2656-7423,200
846,2436-259X,404
847,2813-0227,404
848,2597-7172,200
849,0022-2506,404
850,2798-334X,200
851,2792-050X,404
852,2809-1809,404
853,2791-6715,404
854,2798-9488,200
855,2809-8226,404
856,2769-724X,404
857,2732-964X,404
858,2798-7248,404
859,2406-7202,200
860,1234-1234,404
861,2809-7424,404
862,0433-8731,404
863,2812-4766,200
864,2709-2771,200
865,2414-3707,200
866,2697-0511,404
867,2809-5073,200
868,2807-7733,404
869,2792-0070,404
870,2805-444X,404
871,2809-7238,200
872,2763-7069,200
873,2792-0518,404
874,2349-2589,200
875,2791-9943,404
876,2809-4972,404
877,1907-9559,200
878,2621-3427,200
879,2769-0911,200
880,2289-5868,404
881,2790-4377,200
882,2636-9591,404
883,2747-1349,200
884,2809-8560,200
885,2795-1766,404
886,2411-8982,200
887,2827-8259,404
888,2810-0611,404
889,2600-7533,404
890,2790-4385,200
891,2807-7601,404
892,2810-0549,404
893,2723-5629,200
894,2815-7168,404
895,2146-6440,200
896,2754-8880,200
897,2810-9309,404
898,1234-6666,404
899,2809-6762,404
900,2442-8108,200
901,2220-4490,200
902,2807-761X,404
903,2289-7909,404
904,2656-7466,200
905,2827-8100,404
906,1658-9017,404
907,2319-1090,200
908,2307-4094,200
909,2809-9559,404
910,2732-9674,404
911,2808-9200,404
912,2807-7725,404
913,2809-3151,404
914,2798-6292,404
915,2562-9980,200
916,2807-7830,404
917,2810-9317,404
918,2754-7833,200
919,2807-2065,200
920,2795-1758,404
921,2798-4958,200
922,2772-3577,200
923,2667-3681,200
924,2772-3585,200
925,2798-7108,404
926,2709-4057,200
927,2600-7657,404
928,2810-8507,404
929,2807-7342,404
930,2774-5627,200
931,2809-915X,404
932,2792-8705,404
933,2792-0569,404
934,2670-2215,404
935,2785-924X,404
936,2176-5111,200
937,2798-6012,404
938,2782-1978,200
939,2718-0271,404
940,2798-6438,404
941,2798-6306,404
942,2798-6594,404
943,2175-3628,200
944,2798-656X,404
945,2808-7127,404
946,2811-4264,404
947,0102-3853,200
948,2731-0345,200
949,2771-392X,404
950,2087-0892,200
951,2583-0805,200
952,2786-538X,200
953,2583-0317,404
954,2798-639X,404
955,2664-259X,200
956,2659-2096,200
957,2810-0603,404
958,2722-0524,200
959,2809-3631,404
960,1506-218X,200
961,2792-0879,404
962,2809-3607,404
963,2720-3387,200
964,2809-6029,200
965,2590-3748,200
966,2798-6349,404
967,2814-0990,404
968,2535-2245,200
969,2795-4498,404
970,2772-8927,200
971,2805-2331,200
972,2811-3756,404
973,2812-4820,200
974,1110-0257,200
975,2771-4918,404
976,2782-3970,200
977,2808-8212,200
978,2786-5371,200
979,2306-7438,200
980,2304-7380,200
981,2782-3962,200
982,2808-6430,404
983,2798-6055,404
984,2798-6608,404
985,2809-3747,404
986,2181-2403,404
987,2798-6578,404
988,2807-1867,404
989,2810-8191,404
990,2792-0208,404
991,2528-8091,200
992,0945-2753,200
993,2791-9706,404
994,2792-0771,404
995,2791-9420,404
996,2809-3984,404
997,2535-2237,200
998,2821-286X,404
999,1858-6333,404
1000,2798-6357,404
1001,2709-4170,200
1002,2792-0577,404
1003,2716-4128,200
1004,1677-2970,200
1005,2797-2852,404
1006,2810-9384,404
1007,2791-6081,404
1008,2067-225X,200
1009,2827-8518,404
1010,2791-8815,404
1011,2067-1725,200
1012,2785-9851,200
1013,2731-0353,200
1014,2807-1344,404
1015,2809-6797,404
1016,2810-0808,404
1017,2798-6071,404
1018,2808-7003,404
1019,2773-8817,200
1020,2814-1008,404
1021,0866-8612,404
1022,2812-5150,200
1023,2805-2943,200
1024,2799-3434,404
1025,2754-2602,404
1026,2771-3148,404
1027,2811-440X,404
1028,2807-1956,200
1029,1847-5922,200
1030,2787-2572,200
1031,2436-8539,404
1032,2664-0341,200
1033,2805-2471,200
1034,2773-4897,404
1035,2808-5205,200
1036,2754-5652,404
1037,2667-0925,200
1038,2773-4900,404
1039,2674-0311,404
1040,2088-9453,200
1041,2795-4544,404
1042,2664-0333,200
1043,2344-4460,200
1044,2807-6311,200
1045,1582-327X,200
1046,2795-451X,404
1047,2768-1580,200
1048,2530-9854,200
1049,0195-6094,200
1050,2722-5402,200
1051,2807-1964,200
1052,2772-9419,200
1053,2653-1917,404
1054,2335-8408,200
1055,2805-2498,200
1056,2459-6108,200
1057,2674-0389,404
1058,2683-2615,200
1059,2795-448X,404
1060,2771-0629,404
1061,2775-7560,200
1062,2477-2666,200
1063,1646-6551,404
1064,2328-546X,200
1065,2720-4243,404
1066,2775-1139,200
1067,2776-4737,200
1068,2477-2674,200
1069,2799-5836,404
1070,2624-5477,200
1071,2807-6494,200
1072,2799-8010,404
1073,2752-5074,200
1074,2685-0605,200
1075,2799-4279,404
1076,2810-9295,404
1077,2769-4666,200
1078,2145-8243,200
1079,2332-886X,200
1080,2808-6422,200
1081,2590-8456,404
1082,2252-5483,200
1083,1596-5031,200
1084,1537-209X,200
1085,1684-2618,200
1086,1234-431X,404
1087,0855-0328,200
1088,2181-2721,404
1089,2164-4535,404
1090,2735-1149,404
1091,1661-2981,200
1092,2636-3577,200
1093,1405-9495,404
1094,2667-6818,200
1095,2757-7317,404
1096,2337-3148,200
1097,2570-916X,200
1098,1012-9103,200
1099,1811-0940,200
1100,2786-491X,200
1101,2734-9292,200
1102,1802-6419,200
1103,2302-0741,200
1104,2805-3079,200
1105,2196-4505,404
1106,2181-2802,404
1107,0799-5962,404
1108,2790-1920,200
1109,2580-0221,200
1110,2707-9805,200
1111,0799-5970,404
1112,2754-5792,200
1113,1130-9717,200
1114,2776-9836,200
1115,2721-2890,200
1116,1813-1719,200
1117,2776-5342,200
1118,1693-6329,200
1119,2856-2860,404
1120,2686-5912,200
1121,2340-0021,200
1122,2797-2887,200
1123,2706-8048,200
1124,2477-3352,200
1125,2621-9832,200
1126,0079-5127,404
1127,2790-1939,200
1128,2674-0850,404
1129,2757-7805,200
1130,2735-4474,200
1131,2181-2837,404
1132,2710-5857,200
1133,2807-6656,200
1134,2010-2879,404
1135,2523-5117,200
1136,2731-4286,200
1137,0001-0001,404
1138,1992-0091,200
1139,0795-5111,200
1140,1234-3456,404
1141,2805-2617,200
1142,2752-6666,200
1143,2529-1092,200
1144,2807-2804,200
1145,2616-891X,200
1146,2373-2415,404
1147,2295-7243,200
1148,2783-2406,404
1149,2718-7535,404
1150,2748-9310,200
1151,2770-372X,200
1152,2813-0499,404
1153,2748-9329,200
1154,1166-3243,200
1155,2616-9460,200
1156,2582-3930,200
1157,2709-2666,200
1158,2519-7991,200
1159,2078-404X,200
1160,2602-4756,200
1161,0037-9565,200
1162,2720-2046,404
1163,2523-5125,200
1164,2582-7421,200
1165,2424-7952,404
1166,2715-5757,200
1167,2723-8113,200
1168,2807-1727,404
1169,2772-7246,200
1170,2687-606X,200
1171,2735-1084,200
1172,2771-490X,404
1173,2521-0122,200
1174,2808-2141,200
1175,2665-3443,200
1176,2615-9368,200
1177,2456-1614,200
1178,2716-4349,200
1179,1234-9876,404
1180,2072-9472,200
1181,2815-7206,404
1182,2752-6674,200
1183,1783-5720,200
1184,2768-7236,200
1185,2722-2551,200
1186,2663-7006,200
1187,2804-1224,404
1188,2053-4787,200
1189,0792-7002,200
1190,2495-3911,200
1191,2337-6112,200
1192,2807-2480,200
1193,2813-0545,404
1194,2757-9425,200
1195,0457-4184,200
1196,2537-6276,200
1197,2731-4553,200
1198,1565-9097,404
1199,2777-1385,200
1200,2795-8035,404
1201,0071-5794,200
1202,2708-3454,200
1203,2753-2658,404
1204,2686-1828,200
1205,2539-0147,200
1206,2823-1465,404
1207,2251-8231,200
1208,2807-6508,200
1209,2338-2635,200
1210,2791-8742,200
1211,2805-6833,200
1212,2807-260X,200
1213,2696-628X,404
1214,1953-1990,200
1215,2783-0497,200
1216,1900-1592,200
1217,2805-6841,200
1218,0189-6016,200
1219,2231-7805,200
1220,2460-464X,200
1221,0016-9340,404
1222,1111-1112,404
1223,2773-0689,200
1224,2723-3952,200
1225,2330-202X,200
1226,2754-4761,200
1227,2720-1279,200
1228,2757-7015,200
1229,1857-2502,200
1230,2251-8223,200
1231,2785-2512,200
1232,0894-7217,404
1233,2809-1159,200
1234,1742-7533,404
1235,2631-5343,200
1236,1110-7871,200
1237,2201-6023,404
1238,2424-9432,404
1239,2755-0982,200
1240,2770-8691,200
1241,2791-8238,404
1242,2685-6956,200
1243,2601-3789,200
1244,1427-8219,200
1245,2772-7661,200
1246,0126-513X,200
1247,2754-8805,200
1248,2577-0756,200
1249,2772-8293,200
1250,2737-5994,404
1251,2598-6503,200
1252,2772-655X,200
1253,2586-9396,200
1254,0056-4370,404
1255,2706-8870,200
1256,2767-6641,200
1257,0144-8777,404
1258,2365-6506,404
1259,1234-4321,404
1260,2674-1172,404
1261,1596-6216,200
1262,2652-8142,404
1263,0514-7506,200
1264,2809-8218,404
1265,2810-9201,404
1266,2348-4969,200
1267,2772-7351,200
1268,2809-1566,404
1269,1742-7525,404
1270,2772-9125,200
1271,1979-3820,200
1272,2674-0729,404
1273,2769-6294,200
1274,2378-9867,200
1275,2804-7699,404
1276,1023-1765,200
1277,1474-0056,404
1278,2731-5541,200
1279,2809-0594,200
1280,2667-4408,200
1281,1712-5278,200
1282,2807-1247,200
1283,2225-0980,200
1284,2770-9108,200
1285,2775-2232,200
1286,2471-3716,200
1287,2809-4085,200
1288,2455-9571,200
1289,2810-9007,404
1290,2809-1078,200
1291,2748-9833,200
1292,2771-2370,200
1293,2810-921X,404
1294,2449-674X,200
1295,0305-9982,404
1296,2772-963X,200
1297,2813-0413,200
1298,2226-2008,200
1299,2248-3896,200
1300,2810-823X,200
1301,1565-8406,404
1302,2798-5636,200
1303,2813-0324,404
1304,2731-5533,200
1305,2602-4195,200
1306,2367-8585,200
1307,2769-3589,200
1308,2634-2367,200
1309,2717-6185,200
1310,1474-0064,404
1311,2770-3169,200
1312,2737-5498,404
1313,2590-5007,200
1314,2449-6758,200
1315,2754-5598,200
1316,2328-966X,200
1317,2756-7176,200
1318,1867-5131,200
1319,2807-2839,200
1320,2813-0626,200
1321,2773-5532,200
1322,2667-6990,200
1323,2776-1428,200
1324,2735-5470,200
1325,2809-1574,404
1326,2805-5063,404
1327,0490-1606,200
1328,2735-5535,200
1329,2809-0489,404
1330,1305-2837,200
1331,1307-3540,200
1332,2791-4569,404
1333,2769-3600,200
1334,2754-5601,200
1335,2682-8987,404
1336,2063-5257,200
1337,2754-8791,200
1338,2774-9150,200
1339,2603-5111,200
1340,1771-7450,200
1341,0016-3651,200
1342,2735-7287,200
1343,2731-3654,200
1344,2772-6525,200
1345,2721-3560,200
1346,2765-8805,200
1347,1520-9857,200
1348,2181-2667,404
1349,1658-8363,200
1350,2737-551X,404
1351,2807-405X,200
1352,0305-9578,404
1353,2809-3933,200
1354,0042-0247,200
1355,2798-2408,200
1356,2775-2283,200
1357,2749-8603,200
1358,2093-7717,200
1359,0327-4411,200
1360,1859-4344,200
1361,2674-0346,404
